metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
mortgage_rate_new,es,nation,2003-01,4.2051,percent,bde,2003-01-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-02,4.0621,percent,bde,2003-02-28,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-03,3.8986,percent,bde,2003-03-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-04,3.7856,percent,bde,2003-04-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-05,3.7222,percent,bde,2003-05-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-06,3.6145,percent,bde,2003-06-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-07,3.4224,percent,bde,2003-07-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-08,3.3333,percent,bde,2003-08-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-09,3.3355,percent,bde,2003-09-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-10,3.3538,percent,bde,2003-10-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-11,3.3124,percent,bde,2003-11-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2003-12,3.3153,percent,bde,2003-12-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-01,3.3643,percent,bde,2004-01-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-02,3.3306,percent,bde,2004-02-29,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-03,3.2149,percent,bde,2004-03-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-04,3.1485,percent,bde,2004-04-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-05,3.1025,percent,bde,2004-05-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-06,3.1361,percent,bde,2004-06-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-07,3.2174,percent,bde,2004-07-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-08,3.2696,percent,bde,2004-08-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-09,3.2712,percent,bde,2004-09-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-10,3.2791,percent,bde,2004-10-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-11,3.2955,percent,bde,2004-11-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2004-12,3.2259,percent,bde,2004-12-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-01,3.2596,percent,bde,2005-01-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-02,3.2762,percent,bde,2005-02-28,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-03,3.2585,percent,bde,2005-03-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-04,3.252,percent,bde,2005-04-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-05,3.2583,percent,bde,2005-05-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-06,3.2004,percent,bde,2005-06-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-07,3.1423,percent,bde,2005-07-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-08,3.149,percent,bde,2005-08-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-09,3.1523,percent,bde,2005-09-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-10,3.1726,percent,bde,2005-10-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-11,3.2144,percent,bde,2005-11-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2005-12,3.3169,percent,bde,2005-12-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-01,3.4771,percent,bde,2006-01-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-02,3.6002,percent,bde,2006-02-28,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-03,3.6618,percent,bde,2006-03-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-04,3.7536,percent,bde,2006-04-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-05,3.9038,percent,bde,2006-05-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-06,4.0043,percent,bde,2006-06-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-07,4.1065,percent,bde,2006-07-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-08,4.234,percent,bde,2006-08-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-09,4.3477,percent,bde,2006-09-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-10,4.458,percent,bde,2006-10-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-11,4.5392,percent,bde,2006-11-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2006-12,4.5564,percent,bde,2006-12-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2007-01,4.7136,percent,bde,2007-01-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2007-02,4.7853,percent,bde,2007-02-28,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2007-03,4.8409,percent,bde,2007-03-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2007-04,4.8987,percent,bde,2007-04-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2007-05,4.9525,percent,bde,2007-05-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2007-06,5.0547,percent,bde,2007-06-30,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2007-07,5.1587,percent,bde,2007-07-31,,2026-07-25,ok,0
mortgage_rate_new,es,nation,2007-08,5.2693,percent,bde,2007-08-31,,2026-07-25,ok,0
