metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
bis_cpi,ae,nation,2015-01,3.662,percent,bis_macro,2015-01-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-02,3.616288,percent,bis_macro,2015-02-28,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-03,4.315747,percent,bis_macro,2015-03-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-04,4.25489,percent,bis_macro,2015-04-30,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-05,4.316764,percent,bis_macro,2015-05-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-06,4.21886,percent,bis_macro,2015-06-30,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-07,4.435766,percent,bis_macro,2015-07-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-08,4.945165,percent,bis_macro,2015-08-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-09,4.286843,percent,bis_macro,2015-09-30,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-10,3.680316,percent,bis_macro,2015-10-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-11,3.519178,percent,bis_macro,2015-11-30,,2026-09-26,ok,0
bis_cpi,ae,nation,2015-12,3.596059,percent,bis_macro,2015-12-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-01,2.554066,percent,bis_macro,2016-01-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-02,2.199629,percent,bis_macro,2016-02-29,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-03,1.424281,percent,bis_macro,2016-03-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-04,1.624758,percent,bis_macro,2016-04-30,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-05,1.620527,percent,bis_macro,2016-05-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-06,1.759615,percent,bis_macro,2016-06-30,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-07,1.764142,percent,bis_macro,2016-07-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-08,1.282538,percent,bis_macro,2016-08-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-09,0.756458,percent,bis_macro,2016-09-30,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-10,1.274674,percent,bis_macro,2016-10-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-11,1.953105,percent,bis_macro,2016-11-30,,2026-09-26,ok,0
bis_cpi,ae,nation,2016-12,1.236329,percent,bis_macro,2016-12-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2017-01,2.280534,percent,bis_macro,2017-01-31,,2026-09-26,ok,0
bis_cpi,ae,nation,2017-02,2.678401,percent,bis_macro,2017-02-28,,2026-09-26,ok,0
