metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
company_incorporations,prov-07,province,2026-05,444,companies,borme,2026-05-31,,2026-07-25,ok,0
company_incorporations,prov-07,province,2026-06,375,companies,borme,2026-06-30,,2026-07-25,ok,0
company_incorporations,prov-07,province,2026-07,332,companies,borme,2026-07-31,,2026-07-25,ok,0
company_incorporations,prov-08,province,2026-05,1787,companies,borme,2026-05-31,,2026-07-25,ok,0
company_incorporations,prov-08,province,2026-06,1755,companies,borme,2026-06-30,,2026-07-25,ok,0
company_incorporations,prov-08,province,2026-07,1473,companies,borme,2026-07-31,,2026-07-25,ok,0
company_incorporations,prov-28,province,2026-05,2399,companies,borme,2026-05-31,,2026-07-25,ok,0
company_incorporations,prov-28,province,2026-06,2517,companies,borme,2026-06-30,,2026-07-25,ok,0
company_incorporations,prov-28,province,2026-07,2134,companies,borme,2026-07-31,,2026-07-25,ok,0
company_incorporations,prov-29,province,2026-05,647,companies,borme,2026-05-31,,2026-07-25,ok,0
company_incorporations,prov-29,province,2026-06,677,companies,borme,2026-06-30,,2026-07-25,ok,0
company_incorporations,prov-29,province,2026-07,507,companies,borme,2026-07-31,,2026-07-25,ok,0
company_incorporations,prov-41,province,2026-05,397,companies,borme,2026-05-31,,2026-07-25,ok,0
company_incorporations,prov-41,province,2026-06,437,companies,borme,2026-06-30,,2026-07-25,ok,0
company_incorporations,prov-41,province,2026-07,370,companies,borme,2026-07-31,,2026-07-25,ok,0
company_incorporations,prov-46,province,2026-05,748,companies,borme,2026-05-31,,2026-07-25,ok,0
company_incorporations,prov-46,province,2026-06,778,companies,borme,2026-06-30,,2026-07-25,ok,0
company_incorporations,prov-46,province,2026-07,605,companies,borme,2026-07-31,,2026-07-25,ok,0
company_incorporations,prov-48,province,2026-05,216,companies,borme,2026-05-31,,2026-07-25,ok,0
company_incorporations,prov-48,province,2026-06,234,companies,borme,2026-06-30,,2026-07-25,ok,0
company_incorporations,prov-48,province,2026-07,117,companies,borme,2026-07-31,,2026-07-25,ok,0
company_incorporations,prov-50,province,2026-05,177,companies,borme,2026-05-31,,2026-07-25,ok,0
company_incorporations,prov-50,province,2026-06,218,companies,borme,2026-06-30,,2026-07-25,ok,0
company_incorporations,prov-50,province,2026-07,126,companies,borme,2026-07-31,,2026-07-25,ok,0
