metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
insolvencies,prov-07,province,2026-05,7,cases,borme,2026-05-31,,2026-07-25,ok,0
insolvencies,prov-07,province,2026-06,10,cases,borme,2026-06-30,,2026-07-25,ok,0
insolvencies,prov-07,province,2026-07,1,cases,borme,2026-07-31,,2026-07-25,ok,0
insolvencies,prov-07,province,2026-07,6,cases,borme,2026-07-31,,2026-07-29,revised,1
insolvencies,prov-07,province,2026-08,1,cases,borme,2026-08-31,,2026-08-04,ok,0
insolvencies,prov-08,province,2026-05,92,cases,borme,2026-05-31,,2026-07-25,ok,0
insolvencies,prov-08,province,2026-06,85,cases,borme,2026-06-30,,2026-07-25,ok,0
insolvencies,prov-08,province,2026-07,82,cases,borme,2026-07-31,,2026-07-25,ok,0
insolvencies,prov-08,province,2026-07,94,cases,borme,2026-07-31,,2026-07-28,revised,1
insolvencies,prov-08,province,2026-07,100,cases,borme,2026-07-31,,2026-07-29,revised,2
insolvencies,prov-08,province,2026-08,6,cases,borme,2026-08-31,,2026-08-04,ok,0
insolvencies,prov-28,province,2026-05,48,cases,borme,2026-05-31,,2026-07-25,ok,0
insolvencies,prov-28,province,2026-06,53,cases,borme,2026-06-30,,2026-07-25,ok,0
insolvencies,prov-28,province,2026-07,42,cases,borme,2026-07-31,,2026-07-25,ok,0
insolvencies,prov-28,province,2026-07,48,cases,borme,2026-07-31,,2026-07-28,revised,1
insolvencies,prov-28,province,2026-07,50,cases,borme,2026-07-31,,2026-07-29,revised,2
insolvencies,prov-28,province,2026-08,8,cases,borme,2026-08-31,,2026-08-04,ok,0
insolvencies,prov-29,province,2026-05,9,cases,borme,2026-05-31,,2026-07-25,ok,0
insolvencies,prov-29,province,2026-06,14,cases,borme,2026-06-30,,2026-07-25,ok,0
insolvencies,prov-29,province,2026-07,9,cases,borme,2026-07-31,,2026-07-25,ok,0
insolvencies,prov-29,province,2026-07,10,cases,borme,2026-07-31,,2026-07-28,revised,1
insolvencies,prov-29,province,2026-07,11,cases,borme,2026-07-31,,2026-07-29,revised,2
insolvencies,prov-41,province,2026-05,10,cases,borme,2026-05-31,,2026-07-25,ok,0
insolvencies,prov-41,province,2026-06,18,cases,borme,2026-06-30,,2026-07-25,ok,0
insolvencies,prov-41,province,2026-07,13,cases,borme,2026-07-31,,2026-07-25,ok,0
insolvencies,prov-41,province,2026-07,19,cases,borme,2026-07-31,,2026-07-28,revised,1
insolvencies,prov-41,province,2026-08,1,cases,borme,2026-08-31,,2026-08-04,ok,0
insolvencies,prov-46,province,2026-05,26,cases,borme,2026-05-31,,2026-07-25,ok,0
insolvencies,prov-46,province,2026-06,40,cases,borme,2026-06-30,,2026-07-25,ok,0
insolvencies,prov-46,province,2026-07,22,cases,borme,2026-07-31,,2026-07-25,ok,0
insolvencies,prov-46,province,2026-07,31,cases,borme,2026-07-31,,2026-07-28,revised,1
insolvencies,prov-46,province,2026-07,33,cases,borme,2026-07-31,,2026-07-29,revised,2
insolvencies,prov-46,province,2026-08,6,cases,borme,2026-08-31,,2026-08-04,ok,0
insolvencies,prov-48,province,2026-05,10,cases,borme,2026-05-31,,2026-07-25,ok,0
insolvencies,prov-48,province,2026-06,16,cases,borme,2026-06-30,,2026-07-25,ok,0
insolvencies,prov-48,province,2026-07,11,cases,borme,2026-07-31,,2026-07-25,ok,0
insolvencies,prov-48,province,2026-07,12,cases,borme,2026-07-31,,2026-07-28,revised,1
insolvencies,prov-48,province,2026-07,13,cases,borme,2026-07-31,,2026-07-29,revised,2
insolvencies,prov-48,province,2026-08,1,cases,borme,2026-08-31,,2026-08-04,ok,0
insolvencies,prov-50,province,2026-05,10,cases,borme,2026-05-31,,2026-07-25,ok,0
insolvencies,prov-50,province,2026-06,10,cases,borme,2026-06-30,,2026-07-25,ok,0
insolvencies,prov-50,province,2026-07,9,cases,borme,2026-07-31,,2026-07-25,ok,0
