metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
evictions,prov-07,province,2013-Q1,725,cases,cgpj,2013-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2013-Q2,633,cases,cgpj,2013-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2013-Q3,510,cases,cgpj,2013-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2013-Q4,578,cases,cgpj,2013-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2014-Q1,691,cases,cgpj,2014-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2014-Q2,693,cases,cgpj,2014-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2014-Q3,492,cases,cgpj,2014-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2014-Q4,642,cases,cgpj,2014-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2015-Q1,573,cases,cgpj,2015-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2015-Q2,645,cases,cgpj,2015-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2015-Q3,506,cases,cgpj,2015-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2015-Q4,623,cases,cgpj,2015-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2016-Q1,626,cases,cgpj,2016-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2016-Q2,653,cases,cgpj,2016-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2016-Q3,455,cases,cgpj,2016-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2016-Q4,557,cases,cgpj,2016-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2017-Q1,586,cases,cgpj,2017-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2017-Q2,593,cases,cgpj,2017-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2017-Q3,445,cases,cgpj,2017-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2017-Q4,505,cases,cgpj,2017-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2018-Q1,509,cases,cgpj,2018-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2018-Q2,597,cases,cgpj,2018-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2018-Q3,452,cases,cgpj,2018-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2018-Q4,443,cases,cgpj,2018-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2019-Q1,486,cases,cgpj,2019-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2019-Q2,527,cases,cgpj,2019-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2019-Q3,396,cases,cgpj,2019-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2019-Q4,425,cases,cgpj,2019-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2020-Q1,323,cases,cgpj,2020-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2020-Q2,31,cases,cgpj,2020-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2020-Q3,334,cases,cgpj,2020-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2020-Q4,421,cases,cgpj,2020-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2021-Q1,445,cases,cgpj,2021-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2021-Q2,367,cases,cgpj,2021-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2021-Q3,267,cases,cgpj,2021-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2021-Q4,272,cases,cgpj,2021-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2022-Q1,338,cases,cgpj,2022-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2022-Q2,315,cases,cgpj,2022-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2022-Q3,256,cases,cgpj,2022-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2022-Q4,300,cases,cgpj,2022-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2023-Q1,201,cases,cgpj,2023-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2023-Q2,276,cases,cgpj,2023-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2023-Q3,188,cases,cgpj,2023-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2023-Q4,215,cases,cgpj,2023-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2024-Q1,207,cases,cgpj,2024-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2024-Q2,236,cases,cgpj,2024-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2024-Q3,227,cases,cgpj,2024-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2024-Q4,210,cases,cgpj,2024-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2025-Q1,272,cases,cgpj,2025-03-31,,2026-07-25,ok,0
evictions,prov-07,province,2025-Q2,245,cases,cgpj,2025-06-30,,2026-07-25,ok,0
evictions,prov-07,province,2025-Q3,210,cases,cgpj,2025-09-30,,2026-07-25,ok,0
evictions,prov-07,province,2025-Q4,124,cases,cgpj,2025-12-31,,2026-07-25,ok,0
evictions,prov-07,province,2026-Q1,54,cases,cgpj,2026-03-31,,2026-07-25,ok,0
evictions,prov-08,province,2013-Q1,3322,cases,cgpj,2013-03-31,,2026-07-25,ok,0
evictions,prov-08,province,2013-Q2,3096,cases,cgpj,2013-06-30,,2026-07-25,ok,0
evictions,prov-08,province,2013-Q3,1961,cases,cgpj,2013-09-30,,2026-07-25,ok,0
evictions,prov-08,province,2013-Q4,2722,cases,cgpj,2013-12-31,,2026-07-25,ok,0
evictions,prov-08,province,2014-Q1,2978,cases,cgpj,2014-03-31,,2026-07-25,ok,0
evictions,prov-08,province,2014-Q2,3061,cases,cgpj,2014-06-30,,2026-07-25,ok,0
evictions,prov-08,province,2014-Q3,1986,cases,cgpj,2014-09-30,,2026-07-25,ok,0
evictions,prov-08,province,2014-Q4,2750,cases,cgpj,2014-12-31,,2026-07-25,ok,0
evictions,prov-08,province,2015-Q1,2886,cases,cgpj,2015-03-31,,2026-07-25,ok,0
evictions,prov-08,province,2015-Q2,2973,cases,cgpj,2015-06-30,,2026-07-25,ok,0
evictions,prov-08,province,2015-Q3,1928,cases,cgpj,2015-09-30,,2026-07-25,ok,0
evictions,prov-08,province,2015-Q4,2607,cases,cgpj,2015-12-31,,2026-07-25,ok,0
evictions,prov-08,province,2016-Q1,2556,cases,cgpj,2016-03-31,,2026-07-25,ok,0
evictions,prov-08,province,2016-Q2,2767,cases,cgpj,2016-06-30,,2026-07-25,ok,0
evictions,prov-08,province,2016-Q3,1935,cases,cgpj,2016-09-30,,2026-07-25,ok,0
evictions,prov-08,province,2016-Q4,2254,cases,cgpj,2016-12-31,,2026-07-25,ok,0
evictions,prov-08,province,2017-Q1,2555,cases,cgpj,2017-03-31,,2026-07-25,ok,0
evictions,prov-08,province,2017-Q2,2427,cases,cgpj,2017-06-30,,2026-07-25,ok,0
evictions,prov-08,province,2017-Q3,1713,cases,cgpj,2017-09-30,,2026-07-25,ok,0
evictions,prov-08,province,2017-Q4,2256,cases,cgpj,2017-12-31,,2026-07-25,ok,0
evictions,prov-08,province,2018-Q1,2524,cases,cgpj,2018-03-31,,2026-07-25,ok,0
evictions,prov-08,province,2018-Q2,2704,cases,cgpj,2018-06-30,,2026-07-25,ok,0
evictions,prov-08,province,2018-Q3,1683,cases,cgpj,2018-09-30,,2026-07-25,ok,0
evictions,prov-08,province,2018-Q4,2220,cases,cgpj,2018-12-31,,2026-07-25,ok,0
evictions,prov-08,province,2019-Q1,2365,cases,cgpj,2019-03-31,,2026-07-25,ok,0
evictions,prov-08,province,2019-Q2,2336,cases,cgpj,2019-06-30,,2026-07-25,ok,0
