metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
foreclosures,prov-07,province,2007-Q1,162,cases,cgpj,2007-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2007-Q2,186,cases,cgpj,2007-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2007-Q3,171,cases,cgpj,2007-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2007-Q4,204,cases,cgpj,2007-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2008-Q1,272,cases,cgpj,2008-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2008-Q2,408,cases,cgpj,2008-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2008-Q3,484,cases,cgpj,2008-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2008-Q4,590,cases,cgpj,2008-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2009-Q1,770,cases,cgpj,2009-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2009-Q2,756,cases,cgpj,2009-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2009-Q3,489,cases,cgpj,2009-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2009-Q4,662,cases,cgpj,2009-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2010-Q1,624,cases,cgpj,2010-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2010-Q2,654,cases,cgpj,2010-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2010-Q3,459,cases,cgpj,2010-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2010-Q4,568,cases,cgpj,2010-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2011-Q1,522,cases,cgpj,2011-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2011-Q2,592,cases,cgpj,2011-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2011-Q3,396,cases,cgpj,2011-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2011-Q4,623,cases,cgpj,2011-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2012-Q1,682,cases,cgpj,2012-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2012-Q2,624,cases,cgpj,2012-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2012-Q3,633,cases,cgpj,2012-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2012-Q4,754,cases,cgpj,2012-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2013-Q1,566,cases,cgpj,2013-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2013-Q2,508,cases,cgpj,2013-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2013-Q3,341,cases,cgpj,2013-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2013-Q4,493,cases,cgpj,2013-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2014-Q1,623,cases,cgpj,2014-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2014-Q2,472,cases,cgpj,2014-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2014-Q3,495,cases,cgpj,2014-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2014-Q4,387,cases,cgpj,2014-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2015-Q1,612,cases,cgpj,2015-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2015-Q2,480,cases,cgpj,2015-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2015-Q3,413,cases,cgpj,2015-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2015-Q4,346,cases,cgpj,2015-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2016-Q1,322,cases,cgpj,2016-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2016-Q2,421,cases,cgpj,2016-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2016-Q3,239,cases,cgpj,2016-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2016-Q4,277,cases,cgpj,2016-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2017-Q1,251,cases,cgpj,2017-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2017-Q2,228,cases,cgpj,2017-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2017-Q3,158,cases,cgpj,2017-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2017-Q4,147,cases,cgpj,2017-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2018-Q1,107,cases,cgpj,2018-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2018-Q2,125,cases,cgpj,2018-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2018-Q3,109,cases,cgpj,2018-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2018-Q4,117,cases,cgpj,2018-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2019-Q1,120,cases,cgpj,2019-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2019-Q2,81,cases,cgpj,2019-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2019-Q3,99,cases,cgpj,2019-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2019-Q4,91,cases,cgpj,2019-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2020-Q1,69,cases,cgpj,2020-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2020-Q2,64,cases,cgpj,2020-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2020-Q3,94,cases,cgpj,2020-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2020-Q4,103,cases,cgpj,2020-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2021-Q1,107,cases,cgpj,2021-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2021-Q2,146,cases,cgpj,2021-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2021-Q3,116,cases,cgpj,2021-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2021-Q4,125,cases,cgpj,2021-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2022-Q1,96,cases,cgpj,2022-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2022-Q2,130,cases,cgpj,2022-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2022-Q3,88,cases,cgpj,2022-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2022-Q4,96,cases,cgpj,2022-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2023-Q1,81,cases,cgpj,2023-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2023-Q2,77,cases,cgpj,2023-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2023-Q3,54,cases,cgpj,2023-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2023-Q4,91,cases,cgpj,2023-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2024-Q1,92,cases,cgpj,2024-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2024-Q2,111,cases,cgpj,2024-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2024-Q3,110,cases,cgpj,2024-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2024-Q4,88,cases,cgpj,2024-12-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2025-Q1,117,cases,cgpj,2025-03-31,,2026-07-25,ok,0
foreclosures,prov-07,province,2025-Q2,106,cases,cgpj,2025-06-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2025-Q3,117,cases,cgpj,2025-09-30,,2026-07-25,ok,0
foreclosures,prov-07,province,2025-Q4,119,cases,cgpj,2025-12-31,,2026-07-25,ok,0
