metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
ecb_mortgage_rate,es,nation,2015-01,2.58,percent,ecb,2015-01-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-02,2.49,percent,ecb,2015-02-28,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-03,2.34,percent,ecb,2015-03-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-04,2.28,percent,ecb,2015-04-30,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-05,2.28,percent,ecb,2015-05-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-06,2.2,percent,ecb,2015-06-30,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-07,2.14,percent,ecb,2015-07-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-08,2.22,percent,ecb,2015-08-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-09,2.17,percent,ecb,2015-09-30,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-10,2.15,percent,ecb,2015-10-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-11,2.1,percent,ecb,2015-11-30,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2015-12,1.98,percent,ecb,2015-12-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2016-01,2.04,percent,ecb,2016-01-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2016-02,2.03,percent,ecb,2016-02-29,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2016-03,1.98,percent,ecb,2016-03-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2016-04,2.09,percent,ecb,2016-04-30,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2016-05,2.05,percent,ecb,2016-05-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2016-06,1.99,percent,ecb,2016-06-30,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2016-07,1.98,percent,ecb,2016-07-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2016-08,2.03,percent,ecb,2016-08-31,,2026-07-26,ok,0
ecb_mortgage_rate,es,nation,2016-09,2.04,percent,ecb,2016-09-30,,2026-07-26,ok,0
