metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
ecb_policy_rate,euro-area,euro_area,1999-01,3,percent,ecb,1999-01-31,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-02,3,percent,ecb,1999-02-28,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-03,3,percent,ecb,1999-03-31,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-04,2.5,percent,ecb,1999-04-30,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-05,2.5,percent,ecb,1999-05-31,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-06,2.5,percent,ecb,1999-06-30,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-07,2.5,percent,ecb,1999-07-31,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-08,2.5,percent,ecb,1999-08-31,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-09,2.5,percent,ecb,1999-09-30,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-10,2.5,percent,ecb,1999-10-31,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-11,3,percent,ecb,1999-11-30,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,1999-12,3,percent,ecb,1999-12-31,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,2000-01,3,percent,ecb,2000-01-31,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,2000-02,3.25,percent,ecb,2000-02-29,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,2000-03,3.5,percent,ecb,2000-03-31,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,2000-04,3.75,percent,ecb,2000-04-30,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,2000-05,3.75,percent,ecb,2000-05-31,,2026-08-01,ok,0
ecb_policy_rate,euro-area,euro_area,2000-06,4.25,percent,ecb,2000-06-30,,2026-08-01,ok,0
