metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
power_price,ch,nation,2015-01,44,eur_mwh,ember,2015-01-31,,2026-09-26,ok,0
power_price,ch,nation,2015-02,50.86,eur_mwh,ember,2015-02-28,,2026-09-26,ok,0
power_price,ch,nation,2015-03,44.48,eur_mwh,ember,2015-03-31,,2026-09-26,ok,0
power_price,ch,nation,2015-04,38.23,eur_mwh,ember,2015-04-30,,2026-09-26,ok,0
power_price,ch,nation,2015-05,25.04,eur_mwh,ember,2015-05-31,,2026-09-26,ok,0
power_price,ch,nation,2015-06,30.45,eur_mwh,ember,2015-06-30,,2026-09-26,ok,0
power_price,ch,nation,2015-07,35.98,eur_mwh,ember,2015-07-31,,2026-09-26,ok,0
power_price,ch,nation,2015-08,32.3,eur_mwh,ember,2015-08-31,,2026-09-26,ok,0
power_price,ch,nation,2015-09,36.57,eur_mwh,ember,2015-09-30,,2026-09-26,ok,0
power_price,ch,nation,2015-10,45.54,eur_mwh,ember,2015-10-31,,2026-09-26,ok,0
power_price,ch,nation,2015-11,48.17,eur_mwh,ember,2015-11-30,,2026-09-26,ok,0
power_price,ch,nation,2015-12,52.24,eur_mwh,ember,2015-12-31,,2026-09-26,ok,0
power_price,ch,nation,2016-01,45.96,eur_mwh,ember,2016-01-31,,2026-09-26,ok,0
power_price,ch,nation,2016-02,34.19,eur_mwh,ember,2016-02-29,,2026-09-26,ok,0
power_price,ch,nation,2016-03,29.21,eur_mwh,ember,2016-03-31,,2026-09-26,ok,0
power_price,ch,nation,2016-04,25.23,eur_mwh,ember,2016-04-30,,2026-09-26,ok,0
power_price,ch,nation,2016-05,23.69,eur_mwh,ember,2016-05-31,,2026-09-26,ok,0
power_price,ch,nation,2016-06,27.73,eur_mwh,ember,2016-06-30,,2026-09-26,ok,0
power_price,ch,nation,2016-07,28.18,eur_mwh,ember,2016-07-31,,2026-09-26,ok,0
power_price,ch,nation,2016-08,29.38,eur_mwh,ember,2016-08-31,,2026-09-26,ok,0
power_price,ch,nation,2016-09,35.87,eur_mwh,ember,2016-09-30,,2026-09-26,ok,0
power_price,ch,nation,2016-10,55.91,eur_mwh,ember,2016-10-31,,2026-09-26,ok,0
power_price,ch,nation,2016-11,60.7,eur_mwh,ember,2016-11-30,,2026-09-26,ok,0
power_price,ch,nation,2016-12,58.23,eur_mwh,ember,2016-12-31,,2026-09-26,ok,0
power_price,ch,nation,2017-01,76,eur_mwh,ember,2017-01-31,,2026-09-26,ok,0
power_price,ch,nation,2017-02,55.16,eur_mwh,ember,2017-02-28,,2026-09-26,ok,0
power_price,ch,nation,2017-03,36.89,eur_mwh,ember,2017-03-31,,2026-09-26,ok,0
power_price,ch,nation,2017-04,33.59,eur_mwh,ember,2017-04-30,,2026-09-26,ok,0
power_price,ch,nation,2017-05,33.86,eur_mwh,ember,2017-05-31,,2026-09-26,ok,0
power_price,ch,nation,2017-06,32.12,eur_mwh,ember,2017-06-30,,2026-09-26,ok,0
power_price,ch,nation,2017-07,34.28,eur_mwh,ember,2017-07-31,,2026-09-26,ok,0
power_price,ch,nation,2017-08,32.05,eur_mwh,ember,2017-08-31,,2026-09-26,ok,0
power_price,ch,nation,2017-09,37.27,eur_mwh,ember,2017-09-30,,2026-09-26,ok,0
power_price,ch,nation,2017-10,52.71,eur_mwh,ember,2017-10-31,,2026-09-26,ok,0
power_price,ch,nation,2017-11,65.02,eur_mwh,ember,2017-11-30,,2026-09-26,ok,0
power_price,ch,nation,2017-12,62.54,eur_mwh,ember,2017-12-31,,2026-09-26,ok,0
power_price,ch,nation,2018-01,43.82,eur_mwh,ember,2018-01-31,,2026-09-26,ok,0
power_price,ch,nation,2018-02,52.98,eur_mwh,ember,2018-02-28,,2026-09-26,ok,0
power_price,ch,nation,2018-03,53.18,eur_mwh,ember,2018-03-31,,2026-09-26,ok,0
power_price,ch,nation,2018-04,34.08,eur_mwh,ember,2018-04-30,,2026-09-26,ok,0
power_price,ch,nation,2018-05,33.22,eur_mwh,ember,2018-05-31,,2026-09-26,ok,0
power_price,ch,nation,2018-06,43.15,eur_mwh,ember,2018-06-30,,2026-09-26,ok,0
power_price,ch,nation,2018-07,50.54,eur_mwh,ember,2018-07-31,,2026-09-26,ok,0
power_price,ch,nation,2018-08,58.18,eur_mwh,ember,2018-08-31,,2026-09-26,ok,0
power_price,ch,nation,2018-09,61.53,eur_mwh,ember,2018-09-30,,2026-09-26,ok,0
power_price,ch,nation,2018-10,72.97,eur_mwh,ember,2018-10-31,,2026-09-26,ok,0
power_price,ch,nation,2018-11,65.18,eur_mwh,ember,2018-11-30,,2026-09-26,ok,0
power_price,ch,nation,2018-12,57.69,eur_mwh,ember,2018-12-31,,2026-09-26,ok,0
power_price,ch,nation,2019-01,62.34,eur_mwh,ember,2019-01-31,,2026-09-26,ok,0
power_price,ch,nation,2019-02,48.73,eur_mwh,ember,2019-02-28,,2026-09-26,ok,0
power_price,ch,nation,2019-03,35.77,eur_mwh,ember,2019-03-31,,2026-09-26,ok,0
power_price,ch,nation,2019-04,38.68,eur_mwh,ember,2019-04-30,,2026-09-26,ok,0
power_price,ch,nation,2019-05,38.07,eur_mwh,ember,2019-05-31,,2026-09-26,ok,0
power_price,ch,nation,2019-06,31.85,eur_mwh,ember,2019-06-30,,2026-09-26,ok,0
power_price,ch,nation,2019-07,37.92,eur_mwh,ember,2019-07-31,,2026-09-26,ok,0
power_price,ch,nation,2019-08,33.85,eur_mwh,ember,2019-08-31,,2026-09-26,ok,0
power_price,ch,nation,2019-09,37.44,eur_mwh,ember,2019-09-30,,2026-09-26,ok,0
power_price,ch,nation,2019-10,39.98,eur_mwh,ember,2019-10-31,,2026-09-26,ok,0
power_price,ch,nation,2019-11,45.95,eur_mwh,ember,2019-11-30,,2026-09-26,ok,0
power_price,ch,nation,2019-12,40.84,eur_mwh,ember,2019-12-31,,2026-09-26,ok,0
power_price,ch,nation,2020-01,42.56,eur_mwh,ember,2020-01-31,,2026-09-26,ok,0
power_price,ch,nation,2020-02,34.12,eur_mwh,ember,2020-02-29,,2026-09-26,ok,0
power_price,ch,nation,2020-03,26.13,eur_mwh,ember,2020-03-31,,2026-09-26,ok,0
power_price,ch,nation,2020-04,17.18,eur_mwh,ember,2020-04-30,,2026-09-26,ok,0
power_price,ch,nation,2020-05,16.86,eur_mwh,ember,2020-05-31,,2026-09-26,ok,0
power_price,ch,nation,2020-06,25.71,eur_mwh,ember,2020-06-30,,2026-09-26,ok,0
power_price,ch,nation,2020-07,32.82,eur_mwh,ember,2020-07-31,,2026-09-26,ok,0
power_price,ch,nation,2020-08,35.53,eur_mwh,ember,2020-08-31,,2026-09-26,ok,0
power_price,ch,nation,2020-09,45.89,eur_mwh,ember,2020-09-30,,2026-09-26,ok,0
power_price,ch,nation,2020-10,38.21,eur_mwh,ember,2020-10-31,,2026-09-26,ok,0
power_price,ch,nation,2020-11,41.49,eur_mwh,ember,2020-11-30,,2026-09-26,ok,0
power_price,ch,nation,2020-12,51.36,eur_mwh,ember,2020-12-31,,2026-09-26,ok,0
power_price,ch,nation,2021-01,60.48,eur_mwh,ember,2021-01-31,,2026-09-26,ok,0
power_price,ch,nation,2021-02,53.88,eur_mwh,ember,2021-02-28,,2026-09-26,ok,0
power_price,ch,nation,2021-03,56.17,eur_mwh,ember,2021-03-31,,2026-09-26,ok,0
power_price,ch,nation,2021-04,63.67,eur_mwh,ember,2021-04-30,,2026-09-26,ok,0
power_price,ch,nation,2021-05,57.8,eur_mwh,ember,2021-05-31,,2026-09-26,ok,0
power_price,ch,nation,2021-06,73.61,eur_mwh,ember,2021-06-30,,2026-09-26,ok,0
power_price,ch,nation,2021-07,80.9,eur_mwh,ember,2021-07-31,,2026-09-26,ok,0
power_price,ch,nation,2021-08,82.66,eur_mwh,ember,2021-08-31,,2026-09-26,ok,0
power_price,ch,nation,2021-09,138.21,eur_mwh,ember,2021-09-30,,2026-09-26,ok,0
power_price,ch,nation,2021-10,198.32,eur_mwh,ember,2021-10-31,,2026-09-26,ok,0
power_price,ch,nation,2021-11,226.99,eur_mwh,ember,2021-11-30,,2026-09-26,ok,0
power_price,ch,nation,2021-12,282.14,eur_mwh,ember,2021-12-31,,2026-09-26,ok,0
power_price,ch,nation,2022-01,219.48,eur_mwh,ember,2022-01-31,,2026-09-26,ok,0
power_price,ch,nation,2022-02,208.71,eur_mwh,ember,2022-02-28,,2026-09-26,ok,0
power_price,ch,nation,2022-03,306.09,eur_mwh,ember,2022-03-31,,2026-09-26,ok,0
power_price,ch,nation,2022-04,227.2,eur_mwh,ember,2022-04-30,,2026-09-26,ok,0
power_price,ch,nation,2022-05,197.09,eur_mwh,ember,2022-05-31,,2026-09-26,ok,0
power_price,ch,nation,2022-06,255.19,eur_mwh,ember,2022-06-30,,2026-09-26,ok,0
power_price,ch,nation,2022-07,383.27,eur_mwh,ember,2022-07-31,,2026-09-26,ok,0
power_price,ch,nation,2022-08,488.14,eur_mwh,ember,2022-08-31,,2026-09-26,ok,0
power_price,ch,nation,2022-09,403.79,eur_mwh,ember,2022-09-30,,2026-09-26,ok,0
power_price,ch,nation,2022-10,183.97,eur_mwh,ember,2022-10-31,,2026-09-26,ok,0
power_price,ch,nation,2022-11,219.34,eur_mwh,ember,2022-11-30,,2026-09-26,ok,0
power_price,ch,nation,2022-12,279.69,eur_mwh,ember,2022-12-31,,2026-09-26,ok,0
power_price,ch,nation,2023-01,157.46,eur_mwh,ember,2023-01-31,,2026-09-26,ok,0
power_price,ch,nation,2023-02,153.76,eur_mwh,ember,2023-02-28,,2026-09-26,ok,0
power_price,ch,nation,2023-03,124.43,eur_mwh,ember,2023-03-31,,2026-09-26,ok,0
power_price,ch,nation,2023-04,116.12,eur_mwh,ember,2023-04-30,,2026-09-26,ok,0
power_price,ch,nation,2023-05,85.8,eur_mwh,ember,2023-05-31,,2026-09-26,ok,0
power_price,ch,nation,2023-06,92.23,eur_mwh,ember,2023-06-30,,2026-09-26,ok,0
power_price,ch,nation,2023-07,82.42,eur_mwh,ember,2023-07-31,,2026-09-26,ok,0
power_price,ch,nation,2023-08,94.53,eur_mwh,ember,2023-08-31,,2026-09-26,ok,0
power_price,ch,nation,2023-09,97.02,eur_mwh,ember,2023-09-30,,2026-09-26,ok,0
power_price,ch,nation,2023-10,105.45,eur_mwh,ember,2023-10-31,,2026-09-26,ok,0
power_price,ch,nation,2023-11,103.24,eur_mwh,ember,2023-11-30,,2026-09-26,ok,0
power_price,ch,nation,2023-12,80.97,eur_mwh,ember,2023-12-31,,2026-09-26,ok,0
power_price,ch,nation,2024-01,84.01,eur_mwh,ember,2024-01-31,,2026-09-26,ok,0
power_price,ch,nation,2024-02,69.91,eur_mwh,ember,2024-02-29,,2026-09-26,ok,0
