metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
hicp_maintenance,es,nation,2015-01,99.95,index,eurostat,2015-01-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-02,99.98,index,eurostat,2015-02-28,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-03,99.93,index,eurostat,2015-03-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-04,99.95,index,eurostat,2015-04-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-05,99.93,index,eurostat,2015-05-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-06,100.02,index,eurostat,2015-06-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-07,99.96,index,eurostat,2015-07-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-08,99.95,index,eurostat,2015-08-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-09,99.95,index,eurostat,2015-09-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-10,100.08,index,eurostat,2015-10-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-11,100.15,index,eurostat,2015-11-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2015-12,100.15,index,eurostat,2015-12-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-01,100.22,index,eurostat,2016-01-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-02,100.26,index,eurostat,2016-02-29,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-03,100.35,index,eurostat,2016-03-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-04,100.31,index,eurostat,2016-04-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-05,100.33,index,eurostat,2016-05-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-06,100.36,index,eurostat,2016-06-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-07,100.49,index,eurostat,2016-07-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-08,100.51,index,eurostat,2016-08-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-09,100.55,index,eurostat,2016-09-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-10,100.62,index,eurostat,2016-10-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-11,100.67,index,eurostat,2016-11-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2016-12,100.7,index,eurostat,2016-12-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-01,100.85,index,eurostat,2017-01-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-02,100.97,index,eurostat,2017-02-28,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-03,101.23,index,eurostat,2017-03-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-04,101.26,index,eurostat,2017-04-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-05,101.41,index,eurostat,2017-05-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-06,101.41,index,eurostat,2017-06-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-07,101.55,index,eurostat,2017-07-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-08,101.6,index,eurostat,2017-08-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-09,101.73,index,eurostat,2017-09-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-10,101.81,index,eurostat,2017-10-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-11,101.81,index,eurostat,2017-11-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2017-12,101.87,index,eurostat,2017-12-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-01,102.04,index,eurostat,2018-01-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-02,102.22,index,eurostat,2018-02-28,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-03,102.46,index,eurostat,2018-03-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-04,102.78,index,eurostat,2018-04-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-05,102.89,index,eurostat,2018-05-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-06,102.92,index,eurostat,2018-06-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-07,102.92,index,eurostat,2018-07-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-08,103.04,index,eurostat,2018-08-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-09,103.14,index,eurostat,2018-09-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-10,103.32,index,eurostat,2018-10-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-11,103.45,index,eurostat,2018-11-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2018-12,103.54,index,eurostat,2018-12-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-01,103.65,index,eurostat,2019-01-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-02,103.74,index,eurostat,2019-02-28,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-03,103.9,index,eurostat,2019-03-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-04,104.01,index,eurostat,2019-04-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-05,104.07,index,eurostat,2019-05-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-06,104.09,index,eurostat,2019-06-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-07,104.11,index,eurostat,2019-07-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-08,104.15,index,eurostat,2019-08-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-09,104.24,index,eurostat,2019-09-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-10,104.41,index,eurostat,2019-10-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-11,104.5,index,eurostat,2019-11-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2019-12,104.63,index,eurostat,2019-12-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-01,104.74,index,eurostat,2020-01-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-02,104.94,index,eurostat,2020-02-29,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-03,105.09,index,eurostat,2020-03-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-04,105.25,index,eurostat,2020-04-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-05,105.23,index,eurostat,2020-05-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-06,105.27,index,eurostat,2020-06-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-07,105.43,index,eurostat,2020-07-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-08,105.52,index,eurostat,2020-08-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-09,105.66,index,eurostat,2020-09-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-10,105.86,index,eurostat,2020-10-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-11,105.92,index,eurostat,2020-11-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2020-12,106.09,index,eurostat,2020-12-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-01,106.02,index,eurostat,2021-01-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-02,106.12,index,eurostat,2021-02-28,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-03,106.19,index,eurostat,2021-03-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-04,106.45,index,eurostat,2021-04-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-05,106.69,index,eurostat,2021-05-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-06,106.87,index,eurostat,2021-06-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-07,107.05,index,eurostat,2021-07-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-08,107.18,index,eurostat,2021-08-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-09,107.28,index,eurostat,2021-09-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-10,107.71,index,eurostat,2021-10-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-11,108.08,index,eurostat,2021-11-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2021-12,108.48,index,eurostat,2021-12-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2022-01,109.14,index,eurostat,2022-01-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2022-02,109.96,index,eurostat,2022-02-28,,2026-07-26,ok,0
hicp_maintenance,es,nation,2022-03,111.3,index,eurostat,2022-03-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2022-04,112.48,index,eurostat,2022-04-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2022-05,113.47,index,eurostat,2022-05-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2022-06,114.17,index,eurostat,2022-06-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2022-07,114.57,index,eurostat,2022-07-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2022-08,114.89,index,eurostat,2022-08-31,,2026-07-26,ok,0
hicp_maintenance,es,nation,2022-09,115.52,index,eurostat,2022-09-30,,2026-07-26,ok,0
hicp_maintenance,es,nation,2022-10,116.19,index,eurostat,2022-10-31,,2026-07-26,ok,0
