metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
job_postings_index,es,nation,2020-02,93.31,index,indeed,2020-02-29,,2026-07-26,ok,0
job_postings_index,es,nation,2020-03,36.65,index,indeed,2020-03-31,,2026-07-26,ok,0
job_postings_index,es,nation,2020-04,21.76,index,indeed,2020-04-30,,2026-07-26,ok,0
job_postings_index,es,nation,2020-05,16.35,index,indeed,2020-05-31,,2026-07-26,ok,0
job_postings_index,es,nation,2020-06,35.41,index,indeed,2020-06-30,,2026-07-26,ok,0
job_postings_index,es,nation,2020-07,55.54,index,indeed,2020-07-31,,2026-07-26,ok,0
job_postings_index,es,nation,2020-08,63.43,index,indeed,2020-08-31,,2026-07-26,ok,0
job_postings_index,es,nation,2020-09,56.88,index,indeed,2020-09-30,,2026-07-26,ok,0
job_postings_index,es,nation,2020-10,59.57,index,indeed,2020-10-31,,2026-07-26,ok,0
job_postings_index,es,nation,2020-11,61.2,index,indeed,2020-11-30,,2026-07-26,ok,0
job_postings_index,es,nation,2020-12,81.32,index,indeed,2020-12-31,,2026-07-26,ok,0
job_postings_index,es,nation,2021-01,68.9,index,indeed,2021-01-31,,2026-07-26,ok,0
job_postings_index,es,nation,2021-02,82.92,index,indeed,2021-02-28,,2026-07-26,ok,0
job_postings_index,es,nation,2021-03,70.61,index,indeed,2021-03-31,,2026-07-26,ok,0
job_postings_index,es,nation,2021-04,80.02,index,indeed,2021-04-30,,2026-07-26,ok,0
job_postings_index,es,nation,2021-05,78.15,index,indeed,2021-05-31,,2026-07-26,ok,0
job_postings_index,es,nation,2021-06,82.58,index,indeed,2021-06-30,,2026-07-26,ok,0
job_postings_index,es,nation,2021-07,94.1,index,indeed,2021-07-31,,2026-07-26,ok,0
job_postings_index,es,nation,2021-08,99.46,index,indeed,2021-08-31,,2026-07-26,ok,0
job_postings_index,es,nation,2021-09,107.52,index,indeed,2021-09-30,,2026-07-26,ok,0
job_postings_index,es,nation,2021-10,115.17,index,indeed,2021-10-31,,2026-07-26,ok,0
job_postings_index,es,nation,2021-11,121.99,index,indeed,2021-11-30,,2026-07-26,ok,0
job_postings_index,es,nation,2021-12,132.91,index,indeed,2021-12-31,,2026-07-26,ok,0
job_postings_index,es,nation,2022-01,124.54,index,indeed,2022-01-31,,2026-07-26,ok,0
job_postings_index,es,nation,2022-02,129.27,index,indeed,2022-02-28,,2026-07-26,ok,0
job_postings_index,es,nation,2022-03,136.17,index,indeed,2022-03-31,,2026-07-26,ok,0
job_postings_index,es,nation,2022-04,133.7,index,indeed,2022-04-30,,2026-07-26,ok,0
job_postings_index,es,nation,2022-05,154.12,index,indeed,2022-05-31,,2026-07-26,ok,0
job_postings_index,es,nation,2022-06,136.36,index,indeed,2022-06-30,,2026-07-26,ok,0
job_postings_index,es,nation,2022-07,137.12,index,indeed,2022-07-31,,2026-07-26,ok,0
job_postings_index,es,nation,2022-08,131.15,index,indeed,2022-08-31,,2026-07-26,ok,0
job_postings_index,es,nation,2022-09,137.09,index,indeed,2022-09-30,,2026-07-26,ok,0
job_postings_index,es,nation,2022-10,130.01,index,indeed,2022-10-31,,2026-07-26,ok,0
job_postings_index,es,nation,2022-11,133.27,index,indeed,2022-11-30,,2026-07-26,ok,0
job_postings_index,es,nation,2022-12,137.32,index,indeed,2022-12-31,,2026-07-26,ok,0
