metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
births,prov-07,province,1975-01,885,births,ine,1975-01-31,,2026-07-26,ok,0
births,prov-07,province,1975-02,864,births,ine,1975-02-28,,2026-07-26,ok,0
births,prov-07,province,1975-03,834,births,ine,1975-03-31,,2026-07-26,ok,0
births,prov-07,province,1975-04,958,births,ine,1975-04-30,,2026-07-26,ok,0
births,prov-07,province,1975-05,970,births,ine,1975-05-31,,2026-07-26,ok,0
births,prov-07,province,1975-06,915,births,ine,1975-06-30,,2026-07-26,ok,0
births,prov-07,province,1975-07,1013,births,ine,1975-07-31,,2026-07-26,ok,0
births,prov-07,province,1975-08,962,births,ine,1975-08-31,,2026-07-26,ok,0
births,prov-07,province,1975-09,972,births,ine,1975-09-30,,2026-07-26,ok,0
births,prov-07,province,1975-10,946,births,ine,1975-10-31,,2026-07-26,ok,0
births,prov-07,province,1975-11,893,births,ine,1975-11-30,,2026-07-26,ok,0
births,prov-07,province,1975-12,904,births,ine,1975-12-31,,2026-07-26,ok,0
births,prov-07,province,1976-01,1013,births,ine,1976-01-31,,2026-07-26,ok,0
births,prov-07,province,1976-02,868,births,ine,1976-02-29,,2026-07-26,ok,0
births,prov-07,province,1976-03,894,births,ine,1976-03-31,,2026-07-26,ok,0
births,prov-07,province,1976-04,896,births,ine,1976-04-30,,2026-07-26,ok,0
births,prov-07,province,1976-05,917,births,ine,1976-05-31,,2026-07-26,ok,0
births,prov-07,province,1976-06,902,births,ine,1976-06-30,,2026-07-26,ok,0
births,prov-07,province,1976-07,959,births,ine,1976-07-31,,2026-07-26,ok,0
births,prov-07,province,1976-08,944,births,ine,1976-08-31,,2026-07-26,ok,0
births,prov-07,province,1976-09,985,births,ine,1976-09-30,,2026-07-26,ok,0
births,prov-07,province,1976-10,1004,births,ine,1976-10-31,,2026-07-26,ok,0
births,prov-07,province,1976-11,889,births,ine,1976-11-30,,2026-07-26,ok,0
births,prov-07,province,1976-12,898,births,ine,1976-12-31,,2026-07-26,ok,0
births,prov-07,province,1977-01,913,births,ine,1977-01-31,,2026-07-26,ok,0
births,prov-07,province,1977-02,820,births,ine,1977-02-28,,2026-07-26,ok,0
births,prov-07,province,1977-03,945,births,ine,1977-03-31,,2026-07-26,ok,0
births,prov-07,province,1977-04,863,births,ine,1977-04-30,,2026-07-26,ok,0
births,prov-07,province,1977-05,910,births,ine,1977-05-31,,2026-07-26,ok,0
births,prov-07,province,1977-06,748,births,ine,1977-06-30,,2026-07-26,ok,0
births,prov-07,province,1977-07,848,births,ine,1977-07-31,,2026-07-26,ok,0
births,prov-07,province,1977-08,964,births,ine,1977-08-31,,2026-07-26,ok,0
births,prov-07,province,1977-09,973,births,ine,1977-09-30,,2026-07-26,ok,0
births,prov-07,province,1977-10,857,births,ine,1977-10-31,,2026-07-26,ok,0
births,prov-07,province,1977-11,845,births,ine,1977-11-30,,2026-07-26,ok,0
births,prov-07,province,1977-12,738,births,ine,1977-12-31,,2026-07-26,ok,0
births,prov-07,province,1978-01,901,births,ine,1978-01-31,,2026-07-26,ok,0
births,prov-07,province,1978-02,804,births,ine,1978-02-28,,2026-07-26,ok,0
births,prov-07,province,1978-03,884,births,ine,1978-03-31,,2026-07-26,ok,0
births,prov-07,province,1978-04,842,births,ine,1978-04-30,,2026-07-26,ok,0
births,prov-07,province,1978-05,882,births,ine,1978-05-31,,2026-07-26,ok,0
births,prov-07,province,1978-06,788,births,ine,1978-06-30,,2026-07-26,ok,0
births,prov-07,province,1978-07,867,births,ine,1978-07-31,,2026-07-26,ok,0
births,prov-07,province,1978-08,882,births,ine,1978-08-31,,2026-07-26,ok,0
births,prov-07,province,1978-09,825,births,ine,1978-09-30,,2026-07-26,ok,0
births,prov-07,province,1978-10,879,births,ine,1978-10-31,,2026-07-26,ok,0
births,prov-07,province,1978-11,831,births,ine,1978-11-30,,2026-07-26,ok,0
births,prov-07,province,1978-12,656,births,ine,1978-12-31,,2026-07-26,ok,0
births,prov-07,province,1979-01,1125,births,ine,1979-01-31,,2026-07-26,ok,0
births,prov-07,province,1979-02,733,births,ine,1979-02-28,,2026-07-26,ok,0
births,prov-07,province,1979-03,848,births,ine,1979-03-31,,2026-07-26,ok,0
births,prov-07,province,1979-04,771,births,ine,1979-04-30,,2026-07-26,ok,0
births,prov-07,province,1979-05,850,births,ine,1979-05-31,,2026-07-26,ok,0
births,prov-07,province,1979-06,830,births,ine,1979-06-30,,2026-07-26,ok,0
births,prov-07,province,1979-07,850,births,ine,1979-07-31,,2026-07-26,ok,0
births,prov-07,province,1979-08,835,births,ine,1979-08-31,,2026-07-26,ok,0
births,prov-07,province,1979-09,912,births,ine,1979-09-30,,2026-07-26,ok,0
births,prov-07,province,1979-10,855,births,ine,1979-10-31,,2026-07-26,ok,0
births,prov-07,province,1979-11,783,births,ine,1979-11-30,,2026-07-26,ok,0
births,prov-07,province,1979-12,728,births,ine,1979-12-31,,2026-07-26,ok,0
births,prov-07,province,1980-01,863,births,ine,1980-01-31,,2026-07-26,ok,0
births,prov-07,province,1980-02,750,births,ine,1980-02-29,,2026-07-26,ok,0
births,prov-07,province,1980-03,786,births,ine,1980-03-31,,2026-07-26,ok,0
births,prov-07,province,1980-04,827,births,ine,1980-04-30,,2026-07-26,ok,0
births,prov-07,province,1980-05,798,births,ine,1980-05-31,,2026-07-26,ok,0
births,prov-07,province,1980-06,795,births,ine,1980-06-30,,2026-07-26,ok,0
births,prov-07,province,1980-07,834,births,ine,1980-07-31,,2026-07-26,ok,0
births,prov-07,province,1980-08,876,births,ine,1980-08-31,,2026-07-26,ok,0
births,prov-07,province,1980-09,867,births,ine,1980-09-30,,2026-07-26,ok,0
births,prov-07,province,1980-10,860,births,ine,1980-10-31,,2026-07-26,ok,0
births,prov-07,province,1980-11,786,births,ine,1980-11-30,,2026-07-26,ok,0
births,prov-07,province,1980-12,780,births,ine,1980-12-31,,2026-07-26,ok,0
births,prov-07,province,1981-01,832,births,ine,1981-01-31,,2026-07-26,ok,0
births,prov-07,province,1981-02,660,births,ine,1981-02-28,,2026-07-26,ok,0
births,prov-07,province,1981-03,767,births,ine,1981-03-31,,2026-07-26,ok,0
births,prov-07,province,1981-04,773,births,ine,1981-04-30,,2026-07-26,ok,0
births,prov-07,province,1981-05,818,births,ine,1981-05-31,,2026-07-26,ok,0
births,prov-07,province,1981-06,779,births,ine,1981-06-30,,2026-07-26,ok,0
births,prov-07,province,1981-07,735,births,ine,1981-07-31,,2026-07-26,ok,0
births,prov-07,province,1981-08,812,births,ine,1981-08-31,,2026-07-26,ok,0
births,prov-07,province,1981-09,850,births,ine,1981-09-30,,2026-07-26,ok,0
births,prov-07,province,1981-10,761,births,ine,1981-10-31,,2026-07-26,ok,0
births,prov-07,province,1981-11,772,births,ine,1981-11-30,,2026-07-26,ok,0
births,prov-07,province,1981-12,791,births,ine,1981-12-31,,2026-07-26,ok,0
births,prov-07,province,1982-01,660,births,ine,1982-01-31,,2026-07-26,ok,0
births,prov-07,province,1982-02,718,births,ine,1982-02-28,,2026-07-26,ok,0
births,prov-07,province,1982-03,752,births,ine,1982-03-31,,2026-07-26,ok,0
births,prov-07,province,1982-04,786,births,ine,1982-04-30,,2026-07-26,ok,0
births,prov-07,province,1982-05,796,births,ine,1982-05-31,,2026-07-26,ok,0
births,prov-07,province,1982-06,766,births,ine,1982-06-30,,2026-07-26,ok,0
births,prov-07,province,1982-07,754,births,ine,1982-07-31,,2026-07-26,ok,0
births,prov-07,province,1982-08,773,births,ine,1982-08-31,,2026-07-26,ok,0
births,prov-07,province,1982-09,800,births,ine,1982-09-30,,2026-07-26,ok,0
