metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
tourist_dwelling_places,mun-07040,municipality,2023-Q1,5395,places,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-07040,municipality,2023-Q3,5008,places,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-07040,municipality,2024-Q1,4573,places,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-07040,municipality,2024-Q3,6089,places,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-07040,municipality,2024-Q4,5438,places,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-07040,municipality,2025-Q2,4997,places,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-07040,municipality,2025-Q4,3000,places,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-07040,municipality,2026-Q2,3501,places,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-08019,municipality,2023-Q1,34875,places,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-08019,municipality,2023-Q3,36122,places,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-08019,municipality,2024-Q1,38835,places,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-08019,municipality,2024-Q3,45658,places,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-08019,municipality,2024-Q4,45597,places,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-08019,municipality,2025-Q2,43190,places,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-08019,municipality,2025-Q4,39423,places,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-08019,municipality,2026-Q2,38864,places,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-28079,municipality,2023-Q1,47589,places,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-28079,municipality,2023-Q3,51265,places,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-28079,municipality,2024-Q1,55155,places,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-28079,municipality,2024-Q3,67551,places,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-28079,municipality,2024-Q4,62861,places,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-28079,municipality,2025-Q2,55984,places,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-28079,municipality,2025-Q4,38095,places,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-28079,municipality,2026-Q2,38513,places,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-29067,municipality,2023-Q1,26081,places,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-29067,municipality,2023-Q3,28228,places,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-29067,municipality,2024-Q1,29818,places,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-29067,municipality,2024-Q3,36535,places,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-29067,municipality,2024-Q4,35119,places,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-29067,municipality,2025-Q2,36629,places,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-29067,municipality,2025-Q4,35974,places,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-29067,municipality,2026-Q2,34724,places,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-41091,municipality,2023-Q1,21170,places,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-41091,municipality,2023-Q3,22622,places,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-41091,municipality,2024-Q1,25270,places,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-41091,municipality,2024-Q3,28537,places,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-41091,municipality,2024-Q4,28597,places,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-41091,municipality,2025-Q2,30378,places,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-41091,municipality,2025-Q4,29763,places,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-41091,municipality,2026-Q2,29690,places,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-46250,municipality,2023-Q1,19793,places,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-46250,municipality,2023-Q3,23310,places,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-46250,municipality,2024-Q1,25154,places,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-46250,municipality,2024-Q3,31876,places,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-46250,municipality,2024-Q4,29402,places,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-46250,municipality,2025-Q2,26428,places,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-46250,municipality,2025-Q4,25390,places,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-46250,municipality,2026-Q2,23080,places,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-48020,municipality,2023-Q1,3307,places,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-48020,municipality,2023-Q3,4242,places,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-48020,municipality,2024-Q1,4153,places,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-48020,municipality,2024-Q3,4949,places,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-48020,municipality,2024-Q4,4902,places,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-48020,municipality,2025-Q2,5035,places,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-48020,municipality,2025-Q4,4613,places,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-48020,municipality,2026-Q2,4892,places,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-50297,municipality,2023-Q1,2685,places,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-50297,municipality,2023-Q3,2938,places,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-50297,municipality,2024-Q1,3665,places,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-50297,municipality,2024-Q3,4195,places,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-50297,municipality,2024-Q4,4205,places,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-50297,municipality,2025-Q2,3952,places,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwelling_places,mun-50297,municipality,2025-Q4,3575,places,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwelling_places,mun-50297,municipality,2026-Q2,3357,places,ine,2026-06-30,,2026-07-25,ok,0
