metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
tourist_dwellings,mun-07040,municipality,2023-Q1,1279,dwellings,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwellings,mun-07040,municipality,2023-Q3,1075,dwellings,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwellings,mun-07040,municipality,2024-Q1,1023,dwellings,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwellings,mun-07040,municipality,2024-Q3,1172,dwellings,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwellings,mun-07040,municipality,2024-Q4,1006,dwellings,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwellings,mun-07040,municipality,2025-Q2,954,dwellings,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwellings,mun-07040,municipality,2025-Q4,450,dwellings,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwellings,mun-07040,municipality,2026-Q2,538,dwellings,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwellings,mun-08019,municipality,2023-Q1,7509,dwellings,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwellings,mun-08019,municipality,2023-Q3,7531,dwellings,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwellings,mun-08019,municipality,2024-Q1,8842,dwellings,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwellings,mun-08019,municipality,2024-Q3,9853,dwellings,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwellings,mun-08019,municipality,2024-Q4,9750,dwellings,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwellings,mun-08019,municipality,2025-Q2,9579,dwellings,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwellings,mun-08019,municipality,2025-Q4,8536,dwellings,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwellings,mun-08019,municipality,2026-Q2,8231,dwellings,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwellings,mun-28079,municipality,2023-Q1,13502,dwellings,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwellings,mun-28079,municipality,2023-Q3,14133,dwellings,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwellings,mun-28079,municipality,2024-Q1,16100,dwellings,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwellings,mun-28079,municipality,2024-Q3,18842,dwellings,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwellings,mun-28079,municipality,2024-Q4,17274,dwellings,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwellings,mun-28079,municipality,2025-Q2,15242,dwellings,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwellings,mun-28079,municipality,2025-Q4,12637,dwellings,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwellings,mun-28079,municipality,2026-Q2,10836,dwellings,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwellings,mun-29067,municipality,2023-Q1,6252,dwellings,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwellings,mun-29067,municipality,2023-Q3,6550,dwellings,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwellings,mun-29067,municipality,2024-Q1,7038,dwellings,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwellings,mun-29067,municipality,2024-Q3,8517,dwellings,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwellings,mun-29067,municipality,2024-Q4,8197,dwellings,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwellings,mun-29067,municipality,2025-Q2,8597,dwellings,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwellings,mun-29067,municipality,2025-Q4,8638,dwellings,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwellings,mun-29067,municipality,2026-Q2,8288,dwellings,ine,2026-06-30,,2026-07-25,ok,0
tourist_dwellings,mun-41091,municipality,2023-Q1,5149,dwellings,ine,2023-03-31,,2026-07-25,ok,0
tourist_dwellings,mun-41091,municipality,2023-Q3,5432,dwellings,ine,2023-09-30,,2026-07-25,ok,0
tourist_dwellings,mun-41091,municipality,2024-Q1,6171,dwellings,ine,2024-03-31,,2026-07-25,ok,0
tourist_dwellings,mun-41091,municipality,2024-Q3,6677,dwellings,ine,2024-09-30,,2026-07-25,ok,0
tourist_dwellings,mun-41091,municipality,2024-Q4,6677,dwellings,ine,2024-12-31,,2026-07-25,ok,0
tourist_dwellings,mun-41091,municipality,2025-Q2,7137,dwellings,ine,2025-06-30,,2026-07-25,ok,0
tourist_dwellings,mun-41091,municipality,2025-Q4,7087,dwellings,ine,2025-12-31,,2026-07-25,ok,0
tourist_dwellings,mun-41091,municipality,2026-Q2,6937,dwellings,ine,2026-06-30,,2026-07-25,ok,0
