metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
no2_level,mun-28079,municipality,2001-01,54.021505,index,madrid_aire,2001-01-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-02,60.08631,index,madrid_aire,2001-02-28,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-03,43.294618,index,madrid_aire,2001-03-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-04,44.629518,index,madrid_aire,2001-04-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-05,53.090909,index,madrid_aire,2001-05-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-06,56.161094,index,madrid_aire,2001-06-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-07,51.844937,index,madrid_aire,2001-07-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-08,45.742671,index,madrid_aire,2001-08-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-09,56.313333,index,madrid_aire,2001-09-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-10,52.238938,index,madrid_aire,2001-10-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-11,62.676829,index,madrid_aire,2001-11-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2001-12,83.534328,index,madrid_aire,2001-12-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-01,50.602151,index,madrid_aire,2009-01-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-02,57.268072,index,madrid_aire,2009-02-28,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-03,48.594086,index,madrid_aire,2009-03-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-04,41.03352,index,madrid_aire,2009-04-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-05,38.457995,index,madrid_aire,2009-05-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-06,38.766484,index,madrid_aire,2009-06-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-07,39.51,index,madrid_aire,2009-07-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-08,39.813602,index,madrid_aire,2009-08-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-09,40.802564,index,madrid_aire,2009-09-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-10,56.89,index,madrid_aire,2009-10-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-11,56.349367,index,madrid_aire,2009-11-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2009-12,50.636719,index,madrid_aire,2009-12-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-01,45.253165,index,madrid_aire,2022-01-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-02,41.553655,index,madrid_aire,2022-02-28,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-03,26.25,index,madrid_aire,2022-03-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-04,20.840845,index,madrid_aire,2022-04-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-05,20.041723,index,madrid_aire,2022-05-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-06,19.66523,index,madrid_aire,2022-06-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-07,21.71308,index,madrid_aire,2022-07-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-08,19.970423,index,madrid_aire,2022-08-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-09,22.471698,index,madrid_aire,2022-09-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-10,36.65,index,madrid_aire,2022-10-31,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-11,30.164575,index,madrid_aire,2022-11-30,,2026-07-26,ok,0
no2_level,mun-28079,municipality,2022-12,34.84253,index,madrid_aire,2022-12-31,,2026-07-26,ok,0
