metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
locales_vacancy_rate,dist-28079-01,district,2026-07,11.019875,percent,madrid_locales,2026-07-31,,2026-07-25,ok,0
locales_vacancy_rate,dist-28079-01,district,2026-07,11.018333,percent,madrid_locales,2026-07-31,,2026-07-29,revised,1
locales_vacancy_rate,dist-28079-01,district,2026-07,11.019913,percent,madrid_locales,2026-07-31,,2026-08-01,revised,2
locales_vacancy_rate,dist-28079-01,district,2026-08,11.019399,percent,madrid_locales,2026-08-31,,2026-08-04,ok,0
locales_vacancy_rate,dist-28079-01,district,2026-08,11.021493,percent,madrid_locales,2026-08-31,,2026-08-11,revised,1
locales_vacancy_rate,dist-28079-01,district,2026-08,11.017897,percent,madrid_locales,2026-08-31,,2026-08-18,revised,2
locales_vacancy_rate,dist-28079-01,district,2026-08,11.011184,percent,madrid_locales,2026-08-31,,2026-08-25,revised,3
locales_vacancy_rate,dist-28079-01,district,2026-09,11.010157,percent,madrid_locales,2026-09-30,,2026-09-08,ok,0
locales_vacancy_rate,dist-28079-01,district,2026-09,11.012764,percent,madrid_locales,2026-09-30,,2026-09-15,revised,1
locales_vacancy_rate,dist-28079-01,district,2026-09,11.008662,percent,madrid_locales,2026-09-30,,2026-09-22,revised,2
locales_vacancy_rate,dist-28079-02,district,2026-07,15.689128,percent,madrid_locales,2026-07-31,,2026-07-25,ok,0
locales_vacancy_rate,dist-28079-02,district,2026-07,15.715949,percent,madrid_locales,2026-07-31,,2026-07-29,revised,1
locales_vacancy_rate,dist-28079-02,district,2026-08,15.715949,percent,madrid_locales,2026-08-31,,2026-08-04,ok,0
locales_vacancy_rate,dist-28079-02,district,2026-08,15.713662,percent,madrid_locales,2026-08-31,,2026-08-11,revised,1
locales_vacancy_rate,dist-28079-02,district,2026-08,15.723636,percent,madrid_locales,2026-08-31,,2026-08-18,revised,2
locales_vacancy_rate,dist-28079-02,district,2026-09,15.711376,percent,madrid_locales,2026-09-30,,2026-09-08,ok,0
locales_vacancy_rate,dist-28079-02,district,2026-09,15.696829,percent,madrid_locales,2026-09-30,,2026-09-22,revised,1
locales_vacancy_rate,dist-28079-03,district,2026-07,10.36036,percent,madrid_locales,2026-07-31,,2026-07-25,ok,0
locales_vacancy_rate,dist-28079-03,district,2026-08,10.36036,percent,madrid_locales,2026-08-31,,2026-08-04,ok,0
locales_vacancy_rate,dist-28079-03,district,2026-08,10.339453,percent,madrid_locales,2026-08-31,,2026-08-18,revised,1
locales_vacancy_rate,dist-28079-03,district,2026-08,10.320346,percent,madrid_locales,2026-08-31,,2026-08-25,revised,2
locales_vacancy_rate,dist-28079-03,district,2026-09,10.320346,percent,madrid_locales,2026-09-30,,2026-09-08,ok,0
locales_vacancy_rate,dist-28079-03,district,2026-09,10.370499,percent,madrid_locales,2026-09-30,,2026-09-15,revised,1
