metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
housing_starts,prov-07,province,2008-Q1,2264,dwellings,mivau,2008-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2008-Q2,1621,dwellings,mivau,2008-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2008-Q3,1099,dwellings,mivau,2008-09-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2008-Q4,1056,dwellings,mivau,2008-12-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2009-Q1,634,dwellings,mivau,2009-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2009-Q2,747,dwellings,mivau,2009-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2009-Q3,600,dwellings,mivau,2009-09-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2009-Q4,704,dwellings,mivau,2009-12-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2010-Q1,588,dwellings,mivau,2010-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2010-Q2,814,dwellings,mivau,2010-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2010-Q3,631,dwellings,mivau,2010-09-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2010-Q4,870,dwellings,mivau,2010-12-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2011-Q1,628,dwellings,mivau,2011-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2011-Q2,733,dwellings,mivau,2011-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2011-Q3,365,dwellings,mivau,2011-09-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2011-Q4,382,dwellings,mivau,2011-12-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2012-Q1,280,dwellings,mivau,2012-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2012-Q2,276,dwellings,mivau,2012-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2012-Q3,205,dwellings,mivau,2012-09-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2012-Q4,291,dwellings,mivau,2012-12-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2013-Q1,306,dwellings,mivau,2013-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2013-Q2,178,dwellings,mivau,2013-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2013-Q3,303,dwellings,mivau,2013-09-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2013-Q4,202,dwellings,mivau,2013-12-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2014-Q1,329,dwellings,mivau,2014-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2014-Q2,191,dwellings,mivau,2014-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2014-Q3,204,dwellings,mivau,2014-09-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2014-Q4,172,dwellings,mivau,2014-12-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2015-Q1,329,dwellings,mivau,2015-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2015-Q2,418,dwellings,mivau,2015-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2015-Q3,461,dwellings,mivau,2015-09-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2015-Q4,428,dwellings,mivau,2015-12-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2016-Q1,522,dwellings,mivau,2016-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2016-Q2,488,dwellings,mivau,2016-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2016-Q3,359,dwellings,mivau,2016-09-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2016-Q4,574,dwellings,mivau,2016-12-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2017-Q1,410,dwellings,mivau,2017-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2017-Q2,398,dwellings,mivau,2017-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2017-Q3,423,dwellings,mivau,2017-09-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2017-Q4,560,dwellings,mivau,2017-12-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2018-Q1,797,dwellings,mivau,2018-03-31,,2026-07-25,ok,0
housing_starts,prov-07,province,2018-Q2,858,dwellings,mivau,2018-06-30,,2026-07-25,ok,0
housing_starts,prov-07,province,2018-Q3,763,dwellings,mivau,2018-09-30,,2026-07-25,ok,0
