metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
shipping_container_imports,ae,nation,2019-01,10018439,tonnes,portwatch,2019-01-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-02,6686086,tonnes,portwatch,2019-02-28,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-03,8298796,tonnes,portwatch,2019-03-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-04,7711515,tonnes,portwatch,2019-04-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-05,9512066,tonnes,portwatch,2019-05-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-06,9404815,tonnes,portwatch,2019-06-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-07,8607983,tonnes,portwatch,2019-07-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-08,8370294,tonnes,portwatch,2019-08-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-09,7668928,tonnes,portwatch,2019-09-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-10,8013101,tonnes,portwatch,2019-10-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-11,7818385,tonnes,portwatch,2019-11-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2019-12,8195124,tonnes,portwatch,2019-12-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-01,8024563,tonnes,portwatch,2020-01-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-02,7848135,tonnes,portwatch,2020-02-29,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-03,7961389,tonnes,portwatch,2020-03-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-04,7426732,tonnes,portwatch,2020-04-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-05,7706826,tonnes,portwatch,2020-05-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-06,7687111,tonnes,portwatch,2020-06-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-07,7711042,tonnes,portwatch,2020-07-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-08,7537171,tonnes,portwatch,2020-08-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-09,7916605,tonnes,portwatch,2020-09-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-10,8236757,tonnes,portwatch,2020-10-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-11,7458839,tonnes,portwatch,2020-11-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2020-12,7512848,tonnes,portwatch,2020-12-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-01,7954552,tonnes,portwatch,2021-01-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-02,7420335,tonnes,portwatch,2021-02-28,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-03,8149482,tonnes,portwatch,2021-03-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-04,7945509,tonnes,portwatch,2021-04-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-05,8189531,tonnes,portwatch,2021-05-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-06,7930622,tonnes,portwatch,2021-06-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-07,8341961,tonnes,portwatch,2021-07-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-08,7635305,tonnes,portwatch,2021-08-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-09,8035539,tonnes,portwatch,2021-09-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-10,8311107,tonnes,portwatch,2021-10-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-11,7740683,tonnes,portwatch,2021-11-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2021-12,7835331,tonnes,portwatch,2021-12-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-01,8235221,tonnes,portwatch,2022-01-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-02,7491601,tonnes,portwatch,2022-02-28,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-03,7968561,tonnes,portwatch,2022-03-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-04,8170283,tonnes,portwatch,2022-04-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-05,8429071,tonnes,portwatch,2022-05-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-06,8483306,tonnes,portwatch,2022-06-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-07,8964789,tonnes,portwatch,2022-07-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-08,9412394,tonnes,portwatch,2022-08-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-09,9188638,tonnes,portwatch,2022-09-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-10,7560208,tonnes,portwatch,2022-10-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-11,7617092,tonnes,portwatch,2022-11-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2022-12,7871323,tonnes,portwatch,2022-12-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-01,8707747,tonnes,portwatch,2023-01-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-02,7255989,tonnes,portwatch,2023-02-28,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-03,8594853,tonnes,portwatch,2023-03-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-04,8101514,tonnes,portwatch,2023-04-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-05,8938287,tonnes,portwatch,2023-05-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-06,8077426,tonnes,portwatch,2023-06-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-07,9615327,tonnes,portwatch,2023-07-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-08,9868567,tonnes,portwatch,2023-08-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-09,9255284,tonnes,portwatch,2023-09-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-10,8080176,tonnes,portwatch,2023-10-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-11,7756989,tonnes,portwatch,2023-11-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2023-12,8225378,tonnes,portwatch,2023-12-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-01,8784536,tonnes,portwatch,2024-01-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-02,8742632,tonnes,portwatch,2024-02-29,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-03,8648498,tonnes,portwatch,2024-03-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-04,8671581,tonnes,portwatch,2024-04-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-05,9180261,tonnes,portwatch,2024-05-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-06,8719683,tonnes,portwatch,2024-06-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-07,9393289,tonnes,portwatch,2024-07-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-08,9411316,tonnes,portwatch,2024-08-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-09,9802383,tonnes,portwatch,2024-09-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-10,9532996,tonnes,portwatch,2024-10-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-11,9502678,tonnes,portwatch,2024-11-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2024-12,10076228,tonnes,portwatch,2024-12-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2025-01,10052106,tonnes,portwatch,2025-01-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2025-02,8817816,tonnes,portwatch,2025-02-28,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2025-03,9272913,tonnes,portwatch,2025-03-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2025-04,8881987,tonnes,portwatch,2025-04-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2025-05,9401046,tonnes,portwatch,2025-05-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2025-06,9081222,tonnes,portwatch,2025-06-30,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2025-07,8914197,tonnes,portwatch,2025-07-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2025-08,9440490,tonnes,portwatch,2025-08-31,,2026-09-26,estimated,0
shipping_container_imports,ae,nation,2025-09,9112072,tonnes,portwatch,2025-09-30,,2026-09-26,estimated,0
