metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
in_bank_toll_value,in,nation,2024-09,1.93,INR billion,rbi_payments,2024-09-30,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2024-10,2.02,INR billion,rbi_payments,2024-10-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2024-11,2,INR billion,rbi_payments,2024-11-30,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2024-12,2.07,INR billion,rbi_payments,2024-12-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-01,1.93,INR billion,rbi_payments,2025-01-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-02,1.86,INR billion,rbi_payments,2025-02-28,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-03,1.91,INR billion,rbi_payments,2025-03-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-04,1.84,INR billion,rbi_payments,2025-04-30,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-05,1.92,INR billion,rbi_payments,2025-05-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-06,1.83,INR billion,rbi_payments,2025-06-30,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-07,1.79,INR billion,rbi_payments,2025-07-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-08,1.78,INR billion,rbi_payments,2025-08-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-09,1.64,INR billion,rbi_payments,2025-09-30,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-10,1.72,INR billion,rbi_payments,2025-10-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-11,1.78,INR billion,rbi_payments,2025-11-30,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2025-12,1.89,INR billion,rbi_payments,2025-12-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2026-01,1.84,INR billion,rbi_payments,2026-01-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2026-02,1.74,INR billion,rbi_payments,2026-02-28,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2026-03,1.8,INR billion,rbi_payments,2026-03-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2026-04,1.78,INR billion,rbi_payments,2026-04-30,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2026-05,1.9,INR billion,rbi_payments,2026-05-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2026-06,1.82,INR billion,rbi_payments,2026-06-30,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2026-07,1.77,INR billion,rbi_payments,2026-07-31,,2026-09-26,ok,0
in_bank_toll_value,in,nation,2026-08,1.78,INR billion,rbi_payments,2026-08-31,,2026-09-26,ok,0
