metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
in_upi_value,in,nation,2024-09,20639.95,INR billion,rbi_payments,2024-09-30,,2026-09-26,ok,0
in_upi_value,in,nation,2024-10,23498.21,INR billion,rbi_payments,2024-10-31,,2026-09-26,ok,0
in_upi_value,in,nation,2024-11,21551.87,INR billion,rbi_payments,2024-11-30,,2026-09-26,ok,0
in_upi_value,in,nation,2024-12,23247,INR billion,rbi_payments,2024-12-31,,2026-09-26,ok,0
in_upi_value,in,nation,2025-01,23480.37,INR billion,rbi_payments,2025-01-31,,2026-09-26,ok,0
in_upi_value,in,nation,2025-02,21964.82,INR billion,rbi_payments,2025-02-28,,2026-09-26,ok,0
in_upi_value,in,nation,2025-03,24772.22,INR billion,rbi_payments,2025-03-31,,2026-09-26,ok,0
in_upi_value,in,nation,2025-04,23949.26,INR billion,rbi_payments,2025-04-30,,2026-09-26,ok,0
in_upi_value,in,nation,2025-05,25142.97,INR billion,rbi_payments,2025-05-31,,2026-09-26,ok,0
in_upi_value,in,nation,2025-06,24039.31,INR billion,rbi_payments,2025-06-30,,2026-09-26,ok,0
in_upi_value,in,nation,2025-07,25084.98,INR billion,rbi_payments,2025-07-31,,2026-09-26,ok,0
in_upi_value,in,nation,2025-08,24854.73,INR billion,rbi_payments,2025-08-31,,2026-09-26,ok,0
in_upi_value,in,nation,2025-09,24897.37,INR billion,rbi_payments,2025-09-30,,2026-09-26,ok,0
in_upi_value,in,nation,2025-10,27277.91,INR billion,rbi_payments,2025-10-31,,2026-09-26,ok,0
in_upi_value,in,nation,2025-11,26316.33,INR billion,rbi_payments,2025-11-30,,2026-09-26,ok,0
in_upi_value,in,nation,2025-12,27967.13,INR billion,rbi_payments,2025-12-31,,2026-09-26,ok,0
in_upi_value,in,nation,2026-01,28334.81,INR billion,rbi_payments,2026-01-31,,2026-09-26,ok,0
in_upi_value,in,nation,2026-02,26842.29,INR billion,rbi_payments,2026-02-28,,2026-09-26,ok,0
in_upi_value,in,nation,2026-03,29525.42,INR billion,rbi_payments,2026-03-31,,2026-09-26,ok,0
in_upi_value,in,nation,2026-04,29029.88,INR billion,rbi_payments,2026-04-30,,2026-09-26,ok,0
in_upi_value,in,nation,2026-05,29904.24,INR billion,rbi_payments,2026-05-31,,2026-09-26,ok,0
in_upi_value,in,nation,2026-06,28921.39,INR billion,rbi_payments,2026-06-30,,2026-09-26,ok,0
in_upi_value,in,nation,2026-07,29878.8,INR billion,rbi_payments,2026-07-31,,2026-09-26,ok,0
in_upi_value,in,nation,2026-08,29823.56,INR billion,rbi_payments,2026-08-31,,2026-09-26,ok,0
