metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
rent_district_total,dist-28079-01,district,2026,950,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-02,district,2026,950,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-03,district,2026,1100,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-04,district,2026,1158.71363,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-05,district,2026,1125.725,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-06,district,2026,875,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-07,district,2026,1175,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-08,district,2026,995.296667,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-09,district,2026,1050,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-10,district,2026,750,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-11,district,2026,731.278409,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-12,district,2026,727.69883,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-13,district,2026,700,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-14,district,2026,800,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-15,district,2026,824.083333,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-16,district,2026,1000,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-17,district,2026,687.5,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-18,district,2026,770,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-19,district,2026,800,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-20,district,2026,807.166667,eur,serpavi,2026-12-31,,2026-07-26,ok,0
rent_district_total,dist-28079-21,district,2026,929.171362,eur,serpavi,2026-12-31,,2026-07-26,ok,0
