metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
uk_supplier_panel,gb,nation,2019-01,6469,companies,uk_payments,2019-01-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-02,6452,companies,uk_payments,2019-02-28,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-03,6448,companies,uk_payments,2019-03-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-04,6502,companies,uk_payments,2019-04-30,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-05,6556,companies,uk_payments,2019-05-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-06,6281,companies,uk_payments,2019-06-30,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-07,6661,companies,uk_payments,2019-07-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-08,6717,companies,uk_payments,2019-08-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-09,6679,companies,uk_payments,2019-09-30,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-10,6834,companies,uk_payments,2019-10-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-11,6877,companies,uk_payments,2019-11-30,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2019-12,6803,companies,uk_payments,2019-12-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-01,6920,companies,uk_payments,2020-01-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-02,6930,companies,uk_payments,2020-02-29,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-03,6800,companies,uk_payments,2020-03-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-04,6807,companies,uk_payments,2020-04-30,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-05,6818,companies,uk_payments,2020-05-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-06,6414,companies,uk_payments,2020-06-30,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-07,6541,companies,uk_payments,2020-07-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-08,6481,companies,uk_payments,2020-08-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-09,6316,companies,uk_payments,2020-09-30,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-10,6331,companies,uk_payments,2020-10-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-11,6369,companies,uk_payments,2020-11-30,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2020-12,6040,companies,uk_payments,2020-12-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2021-01,6149,companies,uk_payments,2021-01-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2021-02,6190,companies,uk_payments,2021-02-28,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2021-03,6107,companies,uk_payments,2021-03-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2021-04,6147,companies,uk_payments,2021-04-30,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2021-05,6169,companies,uk_payments,2021-05-31,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2021-06,5971,companies,uk_payments,2021-06-30,,2026-09-26,ok,0
uk_supplier_panel,gb,nation,2021-07,6121,companies,uk_payments,2021-07-31,,2026-09-26,ok,0
