metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
visados_area,ccaa-13,ccaa,1992-01,369172,m2,visados,1992-01-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-02,396855,m2,visados,1992-02-29,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-03,372493,m2,visados,1992-03-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-04,261890,m2,visados,1992-04-30,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-05,414826,m2,visados,1992-05-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-06,943626,m2,visados,1992-06-30,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-07,763144,m2,visados,1992-07-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-08,277591,m2,visados,1992-08-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-09,371863,m2,visados,1992-09-30,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-10,251274,m2,visados,1992-10-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-11,265463,m2,visados,1992-11-30,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1992-12,375972,m2,visados,1992-12-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1993-01,340883,m2,visados,1993-01-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1993-02,343333,m2,visados,1993-02-28,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1993-03,411453,m2,visados,1993-03-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1993-04,346513,m2,visados,1993-04-30,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1993-05,385505,m2,visados,1993-05-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1993-06,1031049,m2,visados,1993-06-30,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1993-07,599923,m2,visados,1993-07-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1993-08,265280,m2,visados,1993-08-31,,2026-07-26,ok,0
visados_area,ccaa-13,ccaa,1993-09,274111,m2,visados,1993-09-30,,2026-07-26,ok,0
