metric_id,geo_id,geo_level,period,value,unit,source_id,observation_end,published_at,fetched_at,quality_flag,revision
visados_new_build,ccaa-13,ccaa,1992-01,728,buildings,visados,1992-01-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-02,796,buildings,visados,1992-02-29,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-03,668,buildings,visados,1992-03-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-04,597,buildings,visados,1992-04-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-05,726,buildings,visados,1992-05-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-06,1713,buildings,visados,1992-06-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-07,907,buildings,visados,1992-07-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-08,445,buildings,visados,1992-08-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-09,524,buildings,visados,1992-09-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-10,513,buildings,visados,1992-10-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-11,551,buildings,visados,1992-11-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1992-12,630,buildings,visados,1992-12-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-01,419,buildings,visados,1993-01-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-02,579,buildings,visados,1993-02-28,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-03,556,buildings,visados,1993-03-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-04,521,buildings,visados,1993-04-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-05,502,buildings,visados,1993-05-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-06,909,buildings,visados,1993-06-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-07,737,buildings,visados,1993-07-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-08,335,buildings,visados,1993-08-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-09,479,buildings,visados,1993-09-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-10,476,buildings,visados,1993-10-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-11,526,buildings,visados,1993-11-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1993-12,562,buildings,visados,1993-12-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-01,501,buildings,visados,1994-01-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-02,794,buildings,visados,1994-02-28,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-03,787,buildings,visados,1994-03-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-04,821,buildings,visados,1994-04-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-05,891,buildings,visados,1994-05-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-06,1589,buildings,visados,1994-06-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-07,1484,buildings,visados,1994-07-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-08,545,buildings,visados,1994-08-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-09,712,buildings,visados,1994-09-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-10,858,buildings,visados,1994-10-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-11,713,buildings,visados,1994-11-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1994-12,969,buildings,visados,1994-12-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-01,974,buildings,visados,1995-01-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-02,1045,buildings,visados,1995-02-28,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-03,1151,buildings,visados,1995-03-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-04,1030,buildings,visados,1995-04-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-05,1340,buildings,visados,1995-05-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-06,1534,buildings,visados,1995-06-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-07,1039,buildings,visados,1995-07-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-08,554,buildings,visados,1995-08-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-09,864,buildings,visados,1995-09-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-10,1045,buildings,visados,1995-10-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-11,1323,buildings,visados,1995-11-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1995-12,444,buildings,visados,1995-12-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-01,864,buildings,visados,1996-01-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-02,866,buildings,visados,1996-02-29,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-03,1108,buildings,visados,1996-03-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-04,890,buildings,visados,1996-04-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-05,798,buildings,visados,1996-05-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-06,688,buildings,visados,1996-06-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-07,1019,buildings,visados,1996-07-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-08,513,buildings,visados,1996-08-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-09,525,buildings,visados,1996-09-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-10,1231,buildings,visados,1996-10-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-11,879,buildings,visados,1996-11-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1996-12,602,buildings,visados,1996-12-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-01,902,buildings,visados,1997-01-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-02,855,buildings,visados,1997-02-28,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-03,787,buildings,visados,1997-03-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-04,1258,buildings,visados,1997-04-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-05,784,buildings,visados,1997-05-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-06,1218,buildings,visados,1997-06-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-07,1401,buildings,visados,1997-07-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-08,867,buildings,visados,1997-08-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-09,892,buildings,visados,1997-09-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-10,1537,buildings,visados,1997-10-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-11,1354,buildings,visados,1997-11-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1997-12,1054,buildings,visados,1997-12-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-01,1415,buildings,visados,1998-01-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-02,1231,buildings,visados,1998-02-28,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-03,1413,buildings,visados,1998-03-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-04,1659,buildings,visados,1998-04-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-05,1066,buildings,visados,1998-05-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-06,1417,buildings,visados,1998-06-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-07,2361,buildings,visados,1998-07-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-08,1142,buildings,visados,1998-08-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-09,1016,buildings,visados,1998-09-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-10,1581,buildings,visados,1998-10-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-11,1363,buildings,visados,1998-11-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1998-12,1459,buildings,visados,1998-12-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1999-01,1353,buildings,visados,1999-01-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1999-02,1773,buildings,visados,1999-02-28,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1999-03,2221,buildings,visados,1999-03-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1999-04,1889,buildings,visados,1999-04-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1999-05,2150,buildings,visados,1999-05-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1999-06,2126,buildings,visados,1999-06-30,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1999-07,1842,buildings,visados,1999-07-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1999-08,826,buildings,visados,1999-08-31,,2026-07-26,ok,0
visados_new_build,ccaa-13,ccaa,1999-09,996,buildings,visados,1999-09-30,,2026-07-26,ok,0
