id,epigraph,district,barrio,state
100000006,472202,10,1004,Cerrado
100000007,472201,10,1004,Abierto
10000003,561004,01,104,Abierto
100000032,472201,10,1004,Abierto
10000004,561001,01,105,Abierto
100000043,472201,10,1004,Abierto
100000048,472204,10,1007,Abierto
100000049,852001,10,1004,Abierto
100000051,562902,10,1004,Abierto
100000054,562902,10,1005,Abierto
100000057,472302,10,1005,Abierto
100000062,472302,10,1007,Abierto
100000068,472302,10,1004,Abierto
100000100,472302,10,1004,Abierto
100000107,881001,10,1004,Abierto
100000108,852001,10,1004,Abierto
100000109,852001,10,1001,Abierto
100000110,562902,10,1004,Abierto
100000111,562902,10,1007,Abierto
100000112,562902,10,1004,Abierto
100000113,852001,10,1007,Abierto
100000114,562902,10,1007,Abierto
100000115,562902,10,1007,Abierto
100000116,562902,10,1002,Abierto
100000117,562902,10,1004,Abierto
100000128,472911,10,1002,Abierto
10000013,561006,01,102,Abierto
100000130,472201,10,1004,Abierto
100000133,920002,10,1007,Abierto
100000140,472201,10,1003,Baja
100000152,561006,10,1007,Abierto
100000159,561006,10,1004,Abierto
100000160,562902,10,1003,Abierto
100000171,561004,10,1007,Abierto
100000177,562902,10,1007,Abierto
100000180,562902,10,1004,Abierto
100000185,471902,10,1002,Abierto
100000223,472102,10,1002,Baja Reunificación
100000232,472201,10,1004,Abierto
100000235,472203,10,1004,Abierto
100000240,472206,10,1004,Abierto
100000241,471902,10,1004,Abierto
100000242,472102,10,1004,Abierto
100000245,472911,10,1007,Abierto
100000258,472201,10,1004,Abierto
100000276,472401,10,1007,Abierto
100000297,561004,10,1007,Baja Reunificación
100000321,561005,10,1004,Abierto
100000323,561005,10,1007,Abierto
100000329,472302,10,1003,Abierto
100000345,477101,10,1004,Abierto
100000348,562902,10,1003,Abierto
100000350,561006,10,1005,Abierto
100000356,472302,10,1007,Cerrado
100000361,472302,10,1005,Abierto
100000363,472302,10,1002,Abierto
100000364,472302,10,1002,Abierto
100000365,472302,10,1002,Abierto
100000370,477101,10,1002,Abierto
100000372,561005,10,1004,Abierto
100000395,472904,10,1004,Abierto
100000396,477101,10,1004,Abierto
100000399,477201,10,1004,Abierto
100000404,562902,10,1004,Cerrado
100000405,851002,10,1007,Uso vivienda
100000406,683001,10,1004,Abierto
100000407,851001,10,1004,Abierto
100000408,851001,10,1004,Abierto
100000409,869007,10,1004,Abierto
100000410,561004,10,1004,Abierto
100000417,472201,10,1004,Abierto
100000427,562902,10,1003,Abierto
100000431,472911,10,1007,Abierto
100000437,563005,10,1004,Abierto
10000044,472502,01,101,Cerrado
100000452,472201,10,1002,Abierto
100000454,472207,10,1005,Abierto
100000460,477806,10,1004,Abierto
100000475,869007,10,1007,Abierto
100000480,472901,10,1004,Abierto
100000482,477101,10,1004,Cerrado
100000489,472402,10,1005,Abierto
100000491,472907,10,1004,Abierto
100000492,472402,10,1004,Cerrado
100000503,870001,10,1003,Abierto
100000513,472206,10,1004,Abierto
10000052,561004,01,104,Abierto
100000520,562902,10,1001,Abierto
100000522,562902,10,1002,Abierto
100000525,562902,10,1007,Abierto
100000530,561005,10,1004,Abierto
100000544,475101,10,1002,Abierto
100000545,561005,10,1004,Abierto
100000564,472601,10,1007,Abierto
100000571,852001,10,1007,Abierto
100000572,562902,10,1007,Abierto
100000573,562902,10,1007,Abierto
100000574,852001,10,1005,Abierto
100000576,562902,10,1004,Abierto
100000578,562902,10,1002,Abierto
100000579,562902,10,1002,Abierto
100000581,472302,10,1005,Abierto
100000585,477101,10,1004,Abierto
100000589,472201,10,1003,Abierto
100000590,472201,10,1005,Abierto
100000596,472203,10,1002,Baja Reunificación
100000605,561005,10,1002,Abierto
100000608,853002,10,1004,Abierto
100000609,472907,10,1004,Abierto
100000622,472402,10,1004,Abierto
100000631,561005,10,1001,Abierto
100000647,472302,10,1004,Abierto
100000648,472201,10,1003,Baja Reunificación
100000651,477101,10,1004,Baja Reunificación
100000652,471102,10,1004,Abierto
100000654,472901,10,1003,Abierto
100000655,561004,10,1002,Abierto
100000660,472911,10,1005,Abierto
100000661,475905,10,1002,Abierto
100000662,477701,10,1002,Abierto
100000668,561005,10,1004,Abierto
100000679,477101,10,1003,Abierto
100000681,562903,10,1004,Abierto
100000682,563005,10,1001,Abierto
100000684,881001,10,1005,Abierto
100000689,472102,10,1004,Abierto
100000690,853003,10,1004,Abierto
100000693,851001,10,1004,Abierto
100000694,472102,10,1004,Abierto
100000695,562902,10,1003,Abierto
100000697,851001,10,1004,Abierto
100000698,475901,10,1004,Abierto
100000703,861002,10,1004,Abierto
100000705,472206,10,1003,Abierto
100000706,472206,10,1007,Abierto
10000071,561006,01,106,Abierto
100000710,472201,10,1004,Abierto
100000715,471101,10,1007,Abierto
100000716,473001,10,1007,Abierto
100000718,472911,10,1003,Abierto
100000720,471101,10,1002,Abierto
100000721,561005,10,1007,Abierto
100000723,563005,10,1004,Abierto
100000724,472404,10,1001,Abierto
100000726,561005,10,1001,Abierto
100000728,411001,10,1004,Abierto
100000729,472407,10,1007,Abierto
100000730,851001,10,1004,Abierto
100000731,107001,10,1001,Abierto
100000732,108005,10,1001,Abierto
100000735,561005,10,1004,Abierto
100000736,477901,10,1004,Abierto
100000744,472911,10,1004,Abierto
100000827,683001,10,1002,Abierto
100000828,471104,10,1002,Abierto
100000833,561005,10,1007,Abierto
100000835,472102,10,1003,Abierto
100000837,472102,10,1007,Abierto
100000842,851001,10,1005,Abierto
100000850,472404,10,1001,Abierto
100000852,472102,10,1003,Abierto
100000854,472905,10,1003,Abierto
100000855,472102,10,1003,Abierto
100000857,472102,10,1003,Baja
100000859,472407,10,1005,Abierto
100000860,561004,10,1005,Abierto
100000861,561005,10,1005,Uso vivienda
100000862,561004,10,1007,Abierto
100000863,561005,10,1004,Abierto
100000867,561006,10,1004,Abierto
100000868,472402,10,1007,Abierto
100000869,471101,10,1007,Abierto
100000877,561004,10,1002,Abierto
100000878,561005,10,1007,Abierto
100000880,477801,10,1003,Abierto
100000886,561004,10,1003,Abierto
100000889,960201,10,1002,Abierto
100000893,471902,10,1004,Abierto
100000894,561004,10,1007,Abierto
100000896,931001,10,1004,Abierto
100000897,471101,10,1002,Abierto
100000898,411001,10,1004,Abierto
100000899,683001,10,1004,Abierto
100000901,563005,10,1004,Abierto
100000904,477501,10,1004,Abierto
100000905,561005,10,1004,Baja Reunificación
100000907,561006,10,1002,Abierto
100000914,561005,10,1002,Baja Reunificación
100000915,472102,10,1002,Abierto
100000916,472401,10,1004,Abierto
100000919,855002,10,1004,Abierto
100000921,472501,10,1007,Abierto
100000922,471902,10,1004,Abierto
10000093,561006,01,104,Abierto
100000933,472207,10,1004,Abierto
100000937,472911,10,1004,Abierto
100000938,561005,10,1005,Abierto
100000941,477808,10,1004,Abierto
100000943,472102,10,1004,Abierto
100000946,472911,10,1007,Abierto
100000947,742001,10,1007,Abierto
100000954,561005,10,1003,Abierto
100000957,477101,10,1004,Abierto
100000959,472911,10,1002,Abierto
100000961,562903,10,1007,Abierto
100000963,821001,10,1004,Abierto
100000966,472502,10,1004,Abierto
100000968,472901,10,1007,Abierto
10000097,561001,01,104,Abierto
100000970,561004,10,1004,Abierto
100000981,862001,10,1004,Abierto
100000983,472901,10,1005,Abierto
100000984,821001,10,1004,Abierto
100000987,472911,10,1003,Abierto
100000988,862003,10,1007,Abierto
100000992,562902,10,1003,Abierto
100000993,821001,10,1004,Abierto
100000996,561005,10,1002,Abierto
100001004,432001,10,1004,Abierto
100001005,931008,10,1004,Cerrado
100001009,472901,10,1007,Abierto
100001011,476201,10,1004,Cerrado
100001017,931008,10,1004,Cerrado
100001019,472102,10,1001,Abierto
10000102,561006,01,106,Abierto
100001020,561004,10,1004,Abierto
100001024,151001,10,1007,Abierto
100001028,561004,10,1002,Abierto
100001038,471901,10,1006,Baja Reunificación
100001041,471902,10,1003,Abierto
100001049,472403,10,1002,Abierto
10000105,561001,01,104,Abierto
100001054,561001,10,1003,Abierto
100001056,472401,10,1003,Cerrado
100001060,472911,10,1004,Abierto
100001061,472301,10,1004,Abierto
100001062,561005,10,1003,Abierto
100001063,472206,10,1004,Abierto
100001064,855002,10,1002,Cerrado
100001065,960201,10,1005,Abierto
100001070,931003,10,1001,Baja Reunificación
100001071,960101,10,1003,Abierto
100001073,561006,10,1003,Abierto
100001075,477602,10,1007,Abierto
100001096,851001,10,1004,Abierto
100001100,475901,10,1004,Abierto
100001101,851002,10,1003,Cerrado
100001102,472407,10,1005,Abierto
100001103,869003,10,1004,Abierto
100001104,472402,10,1004,Abierto
100001106,452002,10,1004,Abierto
100001107,472402,10,1007,Abierto
100001108,960201,10,1002,Abierto
100001112,471101,10,1002,Abierto
100001113,562902,10,1003,Abierto
100001114,561004,10,1004,Abierto
100001118,452002,10,1004,Abierto
100001122,561001,10,1006,Abierto
100001124,477701,10,1002,Abierto
100001126,851001,10,1003,Abierto
100001127,472204,10,1002,Abierto
100001131,562902,10,1007,Abierto
100001132,561004,10,1004,Abierto
100001144,931010,10,1001,Baja Reunificación
100001147,472201,10,1004,Abierto
100001152,472201,10,1007,Abierto
100001153,472102,10,1001,Abierto
100001156,561005,10,1007,Abierto
10000116,477501,01,105,Abierto
100001160,476201,10,1004,Abierto
100001161,561005,10,1002,Cerrado
100001163,472401,10,1003,Abierto
100001167,471902,10,1003,Abierto
100001168,471902,10,1003,Abierto
100001173,561001,10,1002,Abierto
100001174,561001,10,1007,Abierto
100001175,477808,10,1004,Abierto
100001177,561004,10,1007,Abierto
100001179,561001,10,1003,Abierto
100001180,472401,10,1007,Abierto
100001181,472102,10,1007,Abierto
