local_id,change,old,new
270585730,added,,nan|04|404|Cerrado
270585733,added,,nan|07|705|Cerrado
270585734,added,,551005|04|402|Abierto
270585735,added,,551005|02|205|Abierto
270585736,added,,551005|01|102|Abierto
270585737,added,,nan|01|101|Cerrado
270585738,added,,nan|17|1701|Cerrado
270585739,added,,551005|01|103|Abierto
270585740,added,,551005|09|902|Abierto
270585741,added,,551005|04|402|Abierto
270585742,added,,551005|04|402|Abierto
270585743,added,,551005|04|402|Abierto
270585744,added,,471102|08|805|Abierto
270585745,added,,452004|07|705|Cerrado
270585749,added,,nan|11|1107|Cerrado
270585750,added,,551005|07|702|Abierto
270585751,added,,551005|11|1103|Abierto
270585753,added,,821001|13|1306|Cerrado
270585755,added,,551005|07|703|Abierto
270585758,added,,551005|16|1603|Abierto
270585760,added,,551005|01|101|Abierto
270585761,added,,000000|15|1503|Cerrado
270585762,added,,551005|01|102|Abierto
270585764,added,,nan|18|1803|Cerrado
270585765,added,,551005|04|402|Abierto
270585766,added,,821001|21|2105|Cerrado
270585768,added,,551005|01|104|Abierto
270585769,added,,551005|06|603|Abierto
270585770,added,,nan|07|704|Cerrado
270585771,added,,551005|01|102|Abierto
270585775,added,,855002|18|1803|Abierto
270585777,added,,551005|07|703|Abierto
270585779,added,,551005|17|1701|Abierto
270585780,added,,821001|08|806|Cerrado
270585782,added,,551005|03|304|Abierto
270585783,added,,551005|01|105|Abierto
270585788,added,,551005|19|1904|Abierto
270585789,added,,nan|19|1904|Abierto
270585790,added,,nan|19|1904|Abierto
270585791,added,,551005|19|1904|Abierto
270585792,added,,nan|02|207|Cerrado
270585793,added,,551005|13|1302|Abierto
270585795,added,,551005|04|403|Abierto
270585796,added,,551005|04|403|Abierto
270585801,added,,nan|01|105|Abierto
270585802,added,,551005|01|105|Abierto
270585804,added,,551005|01|102|Abierto
270585806,added,,551005|05|506|Abierto
270585807,added,,551005|14|1404|Abierto
270585808,added,,551005|01|106|Abierto
270585810,added,,551005|03|305|Abierto
270585813,added,,nan|11|1106|Cerrado
270585815,added,,551005|18|1803|Abierto
270585816,added,,551005|18|1803|Abierto
270585818,added,,821001|04|406|Cerrado
270585820,added,,551005|09|904|Abierto
270585821,added,,710001|05|506|Cerrado
270585822,added,,551005|07|702|Abierto
270585823,added,,nan|09|902|Cerrado
270585825,added,,551005|03|304|Abierto
270585826,added,,551005|17|1702|Abierto
270585827,added,,466002|15|1509|Cerrado
270585828,added,,551005|06|604|Abierto
270585829,added,,551005|04|404|Abierto
270585834,added,,551005|16|1603|Abierto
270585835,added,,nan|16|1606|Cerrado
270585836,added,,551005|15|1504|Abierto
270585837,added,,551005|01|105|Abierto
270585838,added,,551005|01|101|Abierto
270585839,added,,325001|18|1801|Abierto
270585840,added,,nan|19|1904|Cerrado
270585841,added,,551005|01|105|Abierto
270585842,added,,551005|01|105|Abierto
270585843,added,,nan|10|1004|Cerrado
270585844,added,,476501|11|1104|Cerrado
270585848,added,,nan|08|803|Cerrado
270585850,added,,000000|05|506|Cerrado
270585854,added,,nan|07|701|Cerrado
270585859,added,,nan|04|405|Cerrado
270585865,added,,931002|16|1604|Abierto
270585866,added,,nan|20|2006|Cerrado
270585868,added,,551005|01|101|Abierto
270585869,added,,551005|01|106|Abierto
270585870,added,,nan|11|1102|Cerrado
270585872,added,,nan|21|2103|Cerrado
270585873,added,,551005|07|701|Abierto
270585874,added,,551005|01|102|Abierto
270585877,added,,nan|21|2105|Cerrado
270585878,added,,000000|05|506|Cerrado
270585879,added,,000000|12|1205|Abierto
270585880,added,,561001|06|604|Abierto
270585881,added,,nan|04|403|Cerrado
270585882,added,,551005|13|1306|Abierto
270585884,added,,nan|21|2104|Cerrado
270585885,added,,nan|19|1904|Cerrado
270585886,added,,nan|19|1904|Cerrado
270585892,added,,nan|03|301|Cerrado
100000107,epigraph_changed,562902|10|1004|Abierto,881001|10|1004|Abierto
100000109,epigraph_changed,562902|10|1001|Abierto,852001|10|1001|Abierto
100000111,epigraph_changed,855002|10|1007|Abierto,562902|10|1007|Abierto
100000112,epigraph_changed,852001|10|1004|Abierto,562902|10|1004|Abierto
100000113,epigraph_changed,562902|10|1007|Abierto,852001|10|1007|Abierto
