period,eviction
2021-07,29.0
2021-08,15.8
2021-09,33.5
2021-10,33.0
2021-11,35.0
2021-12,25.5
2022-01,33.8
2022-02,45.5
2022-03,36.8
2022-04,30.5
2022-05,38.6
2022-06,31.5
2022-07,25.2
2022-08,17.8
2022-09,31.3
2022-10,34.2
2022-11,30.5
2022-12,26.3
2023-01,31.8
2023-02,33.8
2023-03,29.8
2023-04,34.6
2023-05,35.8
2023-06,31.8
2023-07,26.4
2023-08,14.3
2023-09,30.0
2023-10,30.0
2023-11,35.5
2023-12,25.0
2024-01,41.5
2024-02,42.3
2024-03,36.2
2024-04,33.3
2024-05,38.8
2024-06,35.2
2024-07,31.0
2024-08,15.3
2024-09,34.4
2024-10,33.0
2024-11,39.5
2024-12,31.0
2025-01,45.3
2025-02,42.8
2025-03,40.2
2025-04,32.3
2025-05,36.3
2025-06,32.6
2025-07,34.5
2025-08,20.8
2025-09,35.8
2025-10,39.5
2025-11,39.4
2025-12,36.3
2026-01,40.5
2026-02,51.3
2026-03,43.6
2026-04,62.5
2026-05,60.2
2026-06,44.3
